2.68308,2.72586,2.76928,2.81333,2.85801,2.90331,2.94924,2.9958,3.04299,3.0908,3.13923,3.18828,3.23794,3.28823,3.33913,3.39064,3.44276,3.49549,3.54882,3.60275,3.65728,3.7124,3.7681,3.82438,3.88123,3.93863,3.99658,4.05507,4.11407,4.17357,4.23356,4.294,4.35488,4.41619,4.47788,4.53993,4.60233,4.66503,4.72799,4.79119,4.85459,4.91812,4.98177,5.04546,5.10915,5.1728,5.23634,5.29973,5.36291,5.42583,5.48845,5.55072,5.61258,5.674,5.73492,5.79531,5.85513,5.91432,5.97286,6.03069,6.08778,6.14409,6.19957,6.25419,6.3079,
2.64095,2.68308,2.72582,2.76918,2.81316,2.85776,2.90298,2.94881,2.99526,3.04232,3.09,3.13828,3.18717,3.23667,3.28677,3.33748,3.38878,3.44069,3.49318,3.54627,3.59995,3.6542,3.70904,3.76444,3.8204,3.87692,3.93397,3.99156,4.04965,4.10823,4.1673,4.22681,4.28677,4.34713,4.40789,4.469,4.53045,4.5922,4.65421,4.71646,4.7789,4.84149,4.90418,4.96692,5.02966,5.09236,5.15495,5.21739,5.27962,5.3416,5.40328,5.4646,5.52553,5.58602,5.64602,5.70549,5.76439,5.82268,5.88031,5.93726,5.99347,6.04891,6.10354,6.15731,6.21019,
2.59951,2.64099,2.68306,2.72575,2.76905,2.81295,2.85746,2.90258,2.9483,2.99462,3.04155,3.08907,3.13719,3.18591,3.23522,3.28513,3.33562,3.3867,3.43837,3.49062,3.54345,3.59685,3.65082,3.70536,3.76044,3.81608,3.87224,3.92893,3.98613,4.04381,4.10196,4.16057,4.2196,4.27904,4.33887,4.39906,4.45958,4.5204,4.58149,4.64282,4.70433,4.766,4.82777,4.88959,4.95141,5.01319,5.07486,5.13638,5.1977,5.25876,5.31951,5.37992,5.43993,5.49951,5.5586,5.61716,5.67517,5.73256,5.78932,5.84539,5.90074,5.95532,6.00911,6.06205,6.1141,
2.55875,2.59958,2.64101,2.68303,2.72565,2.76887,2.81268,2.85709,2.90209,2.94768,2.99386,3.04064,3.088,3.13594,3.18447,3.23358,3.28326,3.33353,3.38437,3.43579,3.48777,3.54033,3.59344,3.64711,3.70133,3.75609,3.81138,3.86718,3.92349,3.98028,4.03753,4.09524,4.15337,4.2119,4.27082,4.3301,4.38971,4.44962,4.50981,4.57023,4.63085,4.69162,4.7525,4.81344,4.87438,4.93526,4.99605,5.05668,5.11711,5.17728,5.23714,5.29665,5.35577,5.41445,5.47265,5.53032,5.58744,5.64396,5.69984,5.75505,5.80955,5.86329,5.91624,5.96836,6.01961,
2.51866,2.55886,2.59964,2.64101,2.68296,2.7255,2.76862,2.81233,2.85662,2.90149,2.94694,2.99297,3.03957,3.08675,3.13449,3.18281,3.2317,3.28116,3.33118,3.38176,3.43291,3.48462,3.53688,3.58969,3.64304,3.69694,3.75135,3.80629,3.86171,3.91762,3.974,4.03081,4.08805,4.14569,4.20371,4.26209,4.32081,4.37983,4.43914,4.49869,4.55844,4.61835,4.67837,4.73845,4.79854,4.85858,4.91851,4.97828,5.03785,5.09715,5.15614,5.21478,5.27302,5.33082,5.38814,5.44495,5.50119,5.55685,5.61187,5.66623,5.71988,5.77279,5.82492,5.87623,5.92669,
2.47923,2.5188,2.55895,2.59967,2.64097,2.68284,2.72528,2.7683,2.81189,2.85604,2.90077,2.94605,2.99191,3.03832,3.0853,3.13283,3.18092,3.22957,3.27877,3.32853,3.37884,3.4297,3.48112,3.53307,3.58557,3.6386,3.69216,3.74623,3.80079,3.85583,3.91133,3.96727,4.02363,4.08038,4.13752,4.19501,4.25285,4.31101,4.36945,4.42815,4.48706,4.54615,4.60535,4.66461,4.72388,4.7831,4.84222,4.90117,4.9599,5.01836,5.0765,5.13429,5.19167,5.24861,5.30507,5.36101,5.4164,5.4712,5.52537,5.57889,5.63171,5.6838,5.73512,5.78564,5.83532,
2.44045,2.47941,2.51893,2.55901,2.59966,2.64087,2.68265,2.72498,2.76787,2.81132,2.85533,2.89989,2.945,2.99066,3.03686,3.08362,3.13092,3.17876,3.22715,3.27608,3.32556,3.37558,3.42614,3.47725,3.52889,3.58107,3.63378,3.68699,3.7407,3.79488,3.84952,3.9046,3.96008,4.01596,4.07222,4.12885,4.18582,4.24312,4.30072,4.3586,4.4167,4.47499,4.53341,4.5919,4.65039,4.70884,4.76717,4.82532,4.88325,4.9409,4.99822,5.05518,5.11172,5.16781,5.22342,5.27851,5.33305,5.387,5.44034,5.49302,5.54502,5.5963,5.64683,5.69656,5.74546,
2.40231,2.44066,2.47957,2.51902,2.55903,2.5996,2.64071,2.68237,2.72458,2.76733,2.81063,2.85446,2.89884,2.94375,2.98919,3.03517,3.08167,3.12872,3.17629,3.2244,3.27304,3.32222,3.37194,3.42219,3.47299,3.52432,3.57618,3.62855,3.68142,3.73476,3.78856,3.84278,3.89741,3.95242,4.00781,4.06356,4.11967,4.17613,4.23291,4.28999,4.34732,4.40486,4.46253,4.52029,4.57805,4.63576,4.69335,4.75075,4.80791,4.86477,4.92129,4.97743,5.03314,5.0884,5.14317,5.19742,5.25112,5.30424,5.35674,5.4086,5.45979,5.51027,5.56001,5.60897,5.65711,
2.36481,2.40256,2.44086,2.4797,2.51908,2.559,2.59946,2.64046,2.68199,2.72406,2.76665,2.80977,2.85341,2.89758,2.94226,2.98747,3.03319,3.07943,3.12619,3.17347,3.22128,3.26961,3.31848,3.36789,3.41784,3.46833,3.51935,3.57089,3.62294,3.67546,3.72843,3.78181,3.83558,3.88973,3.94425,3.99913,4.05438,4.11001,4.16599,4.22229,4.27888,4.33571,4.39269,4.44977,4.50685,4.56387,4.62076,4.67744,4.73386,4.78996,4.8457,4.90104,4.95594,5.01038,5.06431,5.11773,5.17059,5.22288,5.27456,5.32561,5.37599,5.42568,5.47464,5.52283,5.57023,
2.32794,2.3651,2.4028,2.44103,2.4798,2.51909,2.5589,2.59924,2.64011,2.68149,2.72339,2.7658,2.80872,2.85215,2.89608,2.94052,2.98545,3.03089,3.07684,3.12329,3.17026,3.21775,3.26576,3.31432,3.36341,3.41306,3.46325,3.51398,3.56522,3.61695,3.66911,3.72168,3.77461,3.82789,3.88152,3.93552,3.98991,4.04469,4.09988,4.15545,4.21134,4.26751,4.32386,4.38031,4.43678,4.49317,4.5494,4.60541,4.66112,4.71648,4.77146,4.82601,4.88011,4.93373,4.98684,5.03943,5.09146,5.14292,5.19378,5.24402,5.2936,5.34251,5.39069,5.43813,5.48479,
