2.71828,2.89348,3.07922,3.27528,3.48129,3.69669,3.92071,4.15236,4.39042,4.63345,4.87977,5.12744,5.37436,5.61818,5.85645,6.08655,6.30581,
2.55359,2.71817,2.89265,3.07684,3.27037,3.47272,3.68317,3.90078,4.12442,4.35273,4.58412,4.81679,5.04874,5.2778,5.50162,5.71778,5.92376,
2.39888,2.55349,2.7174,2.89042,3.07223,3.26232,3.46001,3.66444,3.87453,4.08901,4.30638,4.52495,4.74285,4.95803,5.1683,5.37136,5.56486,
2.25353,2.39878,2.55276,2.7153,2.88609,3.06467,3.25038,3.44243,3.63979,3.84127,4.04547,4.2508,4.4555,4.65764,4.85517,5.04593,5.2277,
2.117,2.25344,2.3981,2.55079,2.71123,2.87899,3.05345,3.23386,3.41926,3.60854,3.80037,3.99326,4.18555,4.37545,4.56101,4.74021,4.91097,
1.98874,2.11691,2.2528,2.39625,2.54697,2.70456,2.86845,3.03793,3.2121,3.38991,3.57011,3.75132,3.93196,4.11035,4.28467,4.45301,4.61343,
1.86825,1.98866,2.11631,2.25106,2.39266,2.5407,2.69466,2.85387,3.01749,3.18452,3.35381,3.52404,3.69374,3.86132,4.02507,4.18322,4.33391,
1.75505,1.86817,1.98809,2.11468,2.24769,2.38676,2.5314,2.68096,2.83467,2.99158,3.15061,3.31053,3.46995,3.62737,3.78121,3.92977,4.07134,
1.64872,1.75498,1.86764,1.98656,2.11151,2.24216,2.37803,2.51853,2.66293,2.81033,2.95973,3.10995,3.25971,3.4076,3.55212,3.69168,3.82467,
1.54883,1.64865,1.75448,1.8662,1.98358,2.10631,2.23395,2.36594,2.50159,2.64006,2.78041,2.92153,3.06222,3.20115,3.3369,3.46801,3.59294,
1.45499,1.54877,1.64819,1.75313,1.8634,1.9787,2.0986,2.2226,2.35002,2.48011,2.61195,2.74452,2.87669,3.0072,3.13473,3.25789,3.37526,
1.36684,1.45493,1.54833,1.64691,1.7505,1.85881,1.97146,2.08794,2.20764,2.32985,2.4537,2.57824,2.7024,2.825,2.94481,3.06051,3.17076,
1.28403,1.36678,1.45452,1.54713,1.64445,1.74619,1.85201,1.96143,2.07389,2.18869,2.30504,2.42203,2.53867,2.65384,2.76639,2.87508,2.97865,
1.20623,1.28397,1.36639,1.4534,1.54481,1.6404,1.7398,1.8426,1.94824,2.05608,2.16538,2.27529,2.38486,2.49305,2.59878,2.70089,2.79818,
1.13315,1.20618,1.28361,1.36534,1.45122,1.54101,1.63439,1.73096,1.8302,1.93151,2.03419,2.13744,2.24036,2.34201,2.44133,2.53725,2.62865,
1.06449,1.1331,1.20584,1.28262,1.36329,1.44765,1.53537,1.62609,1.71931,1.81449,1.91094,2.00794,2.10463,2.20011,2.29342,2.38353,2.46939,
1,1.06445,1.13278,1.20491,1.2807,1.35994,1.44235,1.52757,1.61515,1.70455,1.79517,1.88628,1.97712,2.06681,2.15447,2.23912,2.31978,
