2.63195,2.71794,2.80603,2.89618,2.98837,3.08253,3.17859,3.27646,3.37602,3.47714,3.5797,3.68359,3.7887,3.89498,4.00236,4.11078,4.22013,4.3303,4.44122,4.55283,4.6651,4.77802,4.8916,5.00581,5.12057,5.23573,5.35103,5.46615,5.58069,5.69419,5.80622,5.91634,6.02415,
2.54861,2.63195,2.7173,2.80465,2.89395,2.98515,3.07818,3.17294,3.26932,3.36719,3.46641,3.56686,3.66846,3.77116,3.87492,3.97966,4.08528,4.19167,4.29875,4.40648,4.51483,4.62382,4.73347,4.84376,4.95466,5.06602,5.17761,5.28907,5.40002,5.51001,5.61859,5.72532,5.82981,
2.46839,2.54917,2.63188,2.71652,2.80305,2.89142,2.98156,3.07336,3.16671,3.26146,3.35746,3.45457,3.5527,3.65183,3.75198,3.85309,3.95503,4.05764,4.16083,4.26457,4.36889,4.47379,4.57935,4.68563,4.79263,4.90026,5.00827,5.11629,5.22389,5.3306,5.43594,5.53946,5.64076,
2.39122,2.46951,2.54967,2.63171,2.71557,2.80123,2.88861,2.97761,3.0681,3.15991,3.25283,3.34667,3.44133,3.53685,3.63338,3.73097,3.82931,3.92815,4.02736,4.12702,4.22715,4.32778,4.42904,4.53114,4.63419,4.73815,4.84276,4.94758,5.05211,5.15581,5.25814,5.35863,5.45688,
2.31699,2.39287,2.47057,2.55009,2.63139,2.71445,2.79921,2.88558,2.97341,3.06249,3.15253,3.2432,3.33432,3.42604,3.5189,3.6132,3.70811,3.80324,3.89832,3.99378,4.08957,4.18565,4.28228,4.37992,4.47893,4.57932,4.68076,4.78271,4.88451,4.98552,5.08513,5.1828,5.27812,
2.24562,2.31917,2.39448,2.47156,2.55039,2.63096,2.71322,2.79713,2.88254,2.96921,3.05669,3.14437,3.23178,3.31914,3.40796,3.49978,3.59159,3.6832,3.77362,3.86481,3.95623,4.04737,4.13876,4.23146,4.32625,4.42321,4.52187,4.62141,4.72096,4.8197,4.9169,5.01199,5.10451,
2.17702,2.2483,2.3213,2.39602,2.47245,2.55059,2.63047,2.71207,2.79535,2.88005,2.96557,3.05075,3.13419,3.21567,3.29887,3.39115,3.47999,3.56901,3.65274,3.74009,3.82752,3.91309,3.99804,4.0849,4.17522,4.26909,4.36559,4.46344,4.56138,4.65836,4.75354,4.84631,4.93619,
2.1111,2.18019,2.25094,2.32335,2.39742,2.47318,2.55069,2.63009,2.71149,2.79486,2.87957,2.96363,3.04333,3.1152,3.18538,3.29062,3.37278,3.46464,3.53268,3.61961,3.70494,3.78354,3.85942,3.93872,4.02436,4.1159,4.21137,4.30861,4.40581,4.50168,4.59529,4.68601,4.77339,
2.04779,2.11475,2.18331,2.25346,2.32519,2.39854,2.47362,2.5507,2.63028,2.71297,2.79884,2.88553,2.9649,3.02101,3.0414,3.21769,3.26032,3.38848,3.39801,3.50496,3.59317,3.66071,3.72125,3.78997,3.87119,3.96222,4.05868,4.15693,4.25454,4.35003,4.44252,4.53147,4.61649,
1.987,2.0519,2.11834,2.18629,2.2557,2.32657,2.39897,2.47327,2.55043,2.63238,2.72179,2.81922,2.91421,2.96699,2.74593,3.28276,3.06664,3.43517,3.1701,3.41313,3.50606,3.54875,3.57864,3.63234,3.7117,3.80645,3.90739,4.00893,4.10826,4.20408,4.29581,4.38318,4.46596,
1.92867,1.99158,2.05599,2.12183,2.18899,2.25732,2.32671,2.39731,2.47015,2.54869,2.64107,2.75969,2.91009,3.1911,0.0597197,0.033742,0.0313604,0.0353372,0.0668215,3.47535,3.47306,3.45333,3.41587,3.45256,3.54019,3.64775,3.75859,3.86608,3.96826,4.06481,4.15592,4.24176,4.32235,
1.8727,1.9337,1.9962,2.0601,2.1252,2.19115,2.25742,2.32328,2.38837,2.45536,2.53835,2.67259,2.77955,0.0597298,0.00119826,0.000352649,0.000320867,0.000370282,0.00136613,0.0693934,3.46124,3.3793,3.18247,3.22526,3.35203,3.48892,3.61612,3.73141,3.83656,3.93353,4.02367,4.10777,4.18616,
1.81896,1.87815,1.93889,2.00109,2.06451,2.12867,2.19257,2.25407,2.30878,2.35011,2.38847,2.61687,0.0539856,0.0011376,2.3401e-05,3.7938e-06,3.28706e-06,4.01154e-06,2.75388e-05,0.00138321,0.0688746,3.42367,2.71286,2.91729,3.15692,3.34282,3.48846,3.60964,3.71567,3.81152,3.89974,3.98164,4.05772,
1.76728,1.82473,1.88388,1.94466,2.00693,2.07033,2.13404,2.1956,2.2465,2.25181,2.05252,0.0467131,0.00100739,2.14585e-05,4.49109e-07,4.27718e-08,3.37594e-08,4.57672e-08,5.30857e-07,2.54912e-05,0.00116492,0.0475707,1.33131,2.57734,3.01861,3.23994,3.38808,3.50568,3.6075,3.6995,3.78437,3.86338,3.93701,
