2.71828,2.89264,3.078,3.27385,3.47972,3.69502,3.91898,4.15061,4.38869,4.63176,4.87815,5.12594,5.37301,5.61704,5.85556,6.08601,6.30581,
2.55288,2.71723,2.89149,3.07551,3.26892,3.47119,3.68159,3.89919,4.12285,4.35121,4.58268,4.81548,5.04759,5.27685,5.50093,5.7174,5.92376,
2.39791,2.55245,2.71624,2.88916,3.07088,3.26091,3.45857,3.663,3.87312,4.08765,4.30511,4.52381,4.74186,4.95724,5.16773,5.37107,5.56486,
2.25248,2.39769,2.55161,2.71408,2.88482,3.06335,3.24905,3.4411,3.6385,3.84005,4.04434,4.24979,4.45464,4.65696,4.8547,5.04568,5.2277,
2.11591,2.25234,2.39696,2.54962,2.71003,2.87776,3.05222,3.23265,3.4181,3.60744,3.79935,3.99236,4.1848,4.37486,4.5606,4.74,4.91097,
1.98766,2.11583,2.2517,2.39512,2.54583,2.70341,2.86731,3.03682,3.21104,3.38891,3.56921,3.75052,3.9313,4.10984,4.28432,4.45284,4.61343,
1.8672,1.9876,2.11525,2.24999,2.39158,2.53963,2.69361,2.85285,3.01652,3.18362,3.35299,3.52332,3.69315,3.86086,4.02477,4.18307,4.33391,
1.75405,1.86716,1.98708,2.11367,2.24668,2.38577,2.53042,2.68002,2.83378,2.99076,3.14988,3.30989,3.46942,3.62697,3.78094,3.92964,4.07134,
1.64776,1.75402,1.86668,1.9856,2.11057,2.24123,2.37713,2.51767,2.66212,2.80959,2.95906,3.10938,3.25924,3.40724,3.55188,3.69156,3.82467,
1.54792,1.64775,1.75358,1.8653,1.9827,2.10545,2.23312,2.36515,2.50085,2.63939,2.77981,2.92102,3.0618,3.20083,3.33669,3.46791,3.59294,
1.45414,1.54792,1.64734,1.7523,1.86258,1.9779,2.09784,2.22188,2.34936,2.4795,2.61142,2.74407,2.87632,3.00692,3.13455,3.2578,3.37526,
1.36604,1.45414,1.54754,1.64614,1.74975,1.85808,1.97076,2.08728,2.20704,2.32931,2.45323,2.57784,2.70208,2.82476,2.94465,3.06043,3.17076,
1.28329,1.36605,1.45379,1.54642,1.64375,1.74553,1.85138,1.96085,2.07335,2.18821,2.30463,2.42169,2.5384,2.65364,2.76626,2.87502,2.97865,
1.20555,1.28329,1.36572,1.45274,1.54418,1.63979,1.73924,1.84207,1.94777,2.05567,2.16503,2.275,2.38464,2.4929,2.59869,2.70085,2.79818,
1.13252,1.20555,1.28299,1.36474,1.45064,1.54047,1.63389,1.7305,1.82979,1.93116,2.0339,2.13721,2.2402,2.3419,2.44127,2.53723,2.62865,
1.06391,1.13253,1.20527,1.28207,1.36277,1.44716,1.53493,1.62569,1.71897,1.8142,1.91072,2.00778,2.10453,2.20007,2.29341,2.38354,2.46939,
0.999464,1.06392,1.13226,1.20441,1.28023,1.35951,1.44196,1.52723,1.61487,1.70434,1.79502,1.8862,1.97709,2.06684,2.15453,2.23918,2.31978,
