u1,u2
0.879779,0
0.87976,-0.00907496
0.879696,-0.0180961
0.879572,-0.0270125
0.879368,-0.0357787
0.879054,-0.0443562
0.878602,-0.0527135
0.87798,-0.0608258
0.877162,-0.0686744
0.87612,-0.0762446
0.874835,-0.0835253
0.873287,-0.0905075
0.871461,-0.0971836
0.869346,-0.103547
0.866933,-0.10959
0.864216,-0.115307
0.861191,-0.12069
0.857856,-0.125731
0.85421,-0.130424
0.850252,-0.134758
0.845985,-0.138725
0.841411,-0.142316
0.836532,-0.145521
0.831352,-0.148328
0.825874,-0.150728
0.820101,-0.152709
0.814038,-0.154259
0.807688,-0.155368
0.801054,-0.156022
0.79414,-0.15621
0.786949,-0.155919
0.779483,-0.155137
0.771743,-0.153851
0.763731,-0.152047
0.755448,-0.149713
0.746891,-0.146834
0.73806,-0.143398
0.728951,-0.139391
0.71956,-0.134799
0.70988,-0.129608
0.699903,-0.123803
0.689618,-0.117371
0.679014,-0.110298
0.668075,-0.102568
0.656782,-0.0941683
0.645113,-0.0850845
0.633043,-0.0753029
0.620542,-0.0648106
0.607575,-0.0535952
0.594101,-0.041646
0.580074,-0.0289536
0.56544,-0.0155113
0.550137,-0.00131564
0.534095,0.0136324
0.517233,0.029326
0.499458,0.0457502
0.480667,0.06288
0.460742,0.0806767
0.439549,0.0990837
0.416942,0.118022
0.39276,0.137381
0.366827,0.157016
0.338961,0.176733
0.30898,0.19628
0.276715,0.215337
0.242029,0.233507
0.204847,0.250312
0.165193,0.265203
0.123225,0.277582
0.079274,0.286858
0.0338541,0.29251
-0.0123584,0.294175
-0.0585877,0.291712
-0.104051,0.285232
-0.148053,0.27508
-0.190058,0.261765
-0.229712,0.245885
-0.266841,0.228048
-0.301414,0.208821
-0.333503,0.188696
-0.363246,0.168087
-0.39082,0.147324
-0.416413,0.126668
-0.440214,0.106317
-0.462405,0.0864214
-0.483152,0.0670911
-0.502607,0.0484052
-0.520905,0.0304188
-0.538166,0.0131684
-0.554496,-0.00332352
-0.569987,-0.0190456
-0.58472,-0.0339946
-0.598764,-0.0481734
-0.612181,-0.0615898
-0.625022,-0.0742549
-0.637332,-0.0861825
-0.649151,-0.0973885
-0.660511,-0.10789
-0.671441,-0.117705
-0.681964,-0.126852
-0.692101,-0.135352
-0.701869,-0.143222
-0.711282,-0.150484
-0.720351,-0.157157
-0.729087,-0.163261
-0.737497,-0.168815
-0.745585,-0.17384
-0.753358,-0.178356
-0.760818,-0.182381
-0.767966,-0.185935
-0.774804,-0.189037
-0.781333,-0.191708
-0.78755,-0.193965
-0.793456,-0.195828
-0.799049,-0.197316
-0.804325,-0.198447
-0.809283,-0.199241
-0.81392,-0.199715
-0.818232,-0.19989
-0.822216,-0.199783
-0.825868,-0.199412
-0.829184,-0.198797
-0.832161,-0.197956
-0.834793,-0.196907
-0.837079,-0.195669
-0.839012,-0.19426
-0.840589,-0.192699
-0.841805,-0.191003
-0.842657,-0.189193
-0.84314,-0.187285
-0.84325,-0.185298
-0.842983,-0.183252
-0.842334,-0.181163
-0.841299,-0.179052
-0.839874,-0.176935
-0.838055,-0.174833
-0.835837,-0.172762
-0.833216,-0.170742
-0.830187,-0.16879
-0.826746,-0.166926
-0.822888,-0.165168
-0.818608,-0.163534
-0.813901,-0.162042
-0.808762,-0.160711
-0.803184,-0.159559
-0.797162,-0.158603
-0.790689,-0.157862
-0.783757,-0.157354
-0.776361,-0.157097
-0.76849,-0.157107
-0.760135,-0.157402
-0.751288,-0.157999
-0.741936,-0.158914
-0.732067,-0.160165
-0.721668,-0.161766
-0.710724,-0.163732
-0.699217,-0.166077
-0.687129,-0.168816
-0.674439,-0.171961
-0.661123,-0.175521
-0.647156,-0.179508
-0.632507,-0.183928
-0.617144,-0.188786
-0.60103,-0.194085
-0.584124,-0.199823
-0.566379,-0.205995
-0.547744,-0.212591
-0.528161,-0.219592
-0.507567,-0.226974
-0.48589,-0.234702
-0.463051,-0.242729
-0.438965,-0.250991
-0.413537,-0.259409
-0.386667,-0.267878
-0.35825,-0.276266
-0.328177,-0.284407
-0.296344,-0.292093
-0.262657,-0.299065
-0.227046,-0.30501
-0.18948,-0.309552
-0.149995,-0.312253
-0.108721,-0.312621
-0.0659119,-0.310134
-0.0219808,-0.304284
0.0224938,-0.294642
0.0667849,-0.280936
0.110078,-0.263122
0.151568,-0.241424
0.190564,-0.216312
