u1,u2
0.879779,0
0.879778,-0.00181674
0.879776,-0.00363304
0.879772,-0.00544846
0.879767,-0.00726259
0.87976,-0.00907497
0.879751,-0.0108852
0.87974,-0.0126928
0.879727,-0.0144975
0.879712,-0.0162987
0.879696,-0.0180961
0.879676,-0.0198893
0.879654,-0.0216779
0.87963,-0.0234616
0.879603,-0.0252399
0.879572,-0.0270126
0.879539,-0.0287792
0.879502,-0.0305394
0.879461,-0.032293
0.879416,-0.0340396
0.879368,-0.0357789
0.879315,-0.0375106
0.879257,-0.0392344
0.879195,-0.0409502
0.879127,-0.0426576
0.879054,-0.0443564
0.878976,-0.0460463
0.878892,-0.0477272
0.878801,-0.0493989
0.878705,-0.0510611
0.878602,-0.0527137
0.878492,-0.0543564
0.878375,-0.0559892
0.878251,-0.0576118
0.878119,-0.0592242
0.87798,-0.0608261
0.877833,-0.0624174
0.877678,-0.0639981
0.877515,-0.0655679
0.877342,-0.0671268
0.877162,-0.0686746
0.876972,-0.0702113
0.876773,-0.0717368
0.876565,-0.0732509
0.876348,-0.0747536
0.876121,-0.0762448
0.875884,-0.0777244
0.875637,-0.0791924
0.87538,-0.0806486
0.875113,-0.082093
0.874835,-0.0835255
0.874547,-0.0849461
0.874248,-0.0863547
0.873939,-0.0877512
0.873618,-0.0891355
0.873287,-0.0905077
0.872944,-0.0918677
0.872591,-0.0932153
0.872226,-0.0945506
0.871849,-0.0958734
0.871461,-0.0971838
0.871062,-0.0984817
0.87065,-0.099767
0.870228,-0.10104
0.869793,-0.1023
0.869346,-0.103547
0.868888,-0.104781
0.868417,-0.106003
0.867935,-0.107212
0.86744,-0.108407
0.866934,-0.10959
0.866415,-0.11076
0.865884,-0.111916
0.86534,-0.11306
0.864785,-0.11419
0.864217,-0.115307
0.863637,-0.11641
0.863044,-0.1175
0.862439,-0.118577
0.861822,-0.11964
0.861192,-0.12069
0.86055,-0.121726
0.859895,-0.122748
0.859228,-0.123756
0.858549,-0.124751
0.857857,-0.125731
0.857152,-0.126698
0.856435,-0.127651
0.855706,-0.128589
0.854964,-0.129514
0.85421,-0.130424
0.853444,-0.131319
0.852665,-0.132201
0.851873,-0.133068
0.851069,-0.13392
0.850253,-0.134758
0.849424,-0.135581
0.848583,-0.13639
0.84773,-0.137183
0.846864,-0.137962
0.845986,-0.138725
0.845096,-0.139474
0.844193,-0.140208
0.843278,-0.140926
0.842351,-0.141629
0.841412,-0.142316
0.84046,-0.142989
0.839497,-0.143645
0.838521,-0.144286
0.837533,-0.144911
0.836533,-0.145521
0.835521,-0.146114
0.834497,-0.146692
0.833461,-0.147254
0.832413,-0.147799
0.831353,-0.148328
0.830281,-0.148841
0.829197,-0.149338
0.828102,-0.149818
0.826994,-0.150281
0.825875,-0.150728
0.824744,-0.151158
0.823601,-0.151571
0.822446,-0.151968
0.82128,-0.152347
0.820102,-0.152709
0.818913,-0.153054
0.817712,-0.153381
0.816499,-0.153692
0.815275,-0.153984
0.814039,-0.154259
0.812792,-0.154517
0.811533,-0.154757
0.810263,-0.154978
0.808982,-0.155182
0.807689,-0.155368
0.806385,-0.155536
0.805069,-0.155685
0.803743,-0.155816
0.802405,-0.155928
0.801055,-0.156022
0.799695,-0.156098
0.798323,-0.156154
0.796941,-0.156192
0.795547,-0.156211
0.794142,-0.15621
0.792725,-0.156191
0.791298,-0.156152
0.78986,-0.156094
0.788411,-0.156017
0.78695,-0.15592
0.785479,-0.155803
0.783997,-0.155667
0.782504,-0.15551
0.780999,-0.155334
0.779484,-0.155138
0.777958,-0.154921
0.776421,-0.154684
0.774873,-0.154427
0.773314,-0.154149
0.771745,-0.153851
0.770164,-0.153532
0.768573,-0.153192
0.76697,-0.152832
0.765357,-0.15245
0.763733,-0.152047
0.762098,-0.151623
0.760452,-0.151178
0.758795,-0.150711
0.757128,-0.150223
0.755449,-0.149713
0.75376,-0.149181
0.752059,-0.148628
0.750348,-0.148052
0.748626,-0.147454
0.746893,-0.146835
0.745149,-0.146192
0.743394,-0.145528
0.741627,-0.144841
0.73985,-0.144131
0.738062,-0.143399
0.736262,-0.142643
0.734452,-0.141865
0.73263,-0.141064
0.730797,-0.140239
0.728953,-0.139392
0.727097,-0.13852
0.725231,-0.137626
0.723352,-0.136707
0.721463,-0.135765
0.719562,-0.134799
0.717649,-0.13381
0.715725,-0.132796
0.713789,-0.131757
0.711841,-0.130695
0.709882,-0.129608
0.70791,-0.128497
0.705927,-0.127361
0.703932,-0.1262
0.701924,-0.125014
0.699905,-0.123804
0.697873,-0.122568
0.695829,-0.121307
0.693772,-0.120021
0.691703,-0.118709
0.689621,-0.117372
0.687526,-0.116009
0.685418,-0.11462
0.683298,-0.113206
0.681164,-0.111765
0.679017,-0.110298
0.676856,-0.108805
0.674682,-0.107286
0.672494,-0.10574
0.670293,-0.104168
0.668077,-0.102569
0.665848,-0.100943
0.663604,-0.0992902
0.661345,-0.0976104
0.659072,-0.0959035
0.656784,-0.0941693
0.654481,-0.0924077
0.652163,-0.0906186
0.64983,-0.088802
0.647481,-0.0869577
0.645116,-0.0850855
0.642735,-0.0831855
0.640338,-0.0812574
0.637924,-0.0793012
0.635494,-0.0773168
0.633046,-0.0753041
0.630582,-0.0732629
0.628099,-0.0711932
0.625599,-0.0690948
0.623082,-0.0669677
0.620545,-0.0648118
0.61799,-0.062627
0.615416,-0.0604131
0.612823,-0.0581702
0.610211,-0.055898
0.607578,-0.0535966
0.604925,-0.0512658
0.602252,-0.0489056
0.599558,-0.0465158
0.596842,-0.0440964
0.594105,-0.0416474
0.591345,-0.0391687
0.588563,-0.0366601
0.585758,-0.0341217
0.58293,-0.0315534
0.580078,-0.0289552
0.577201,-0.0263269
0.5743,-0.0236686
0.571374,-0.0209802
0.568422,-0.0182616
0.565444,-0.015513
0.562439,-0.0127342
0.559407,-0.00992526
0.556347,-0.00708615
0.553258,-0.00421689
0.550141,-0.00131749
0.546994,0.00161202
0.543817,0.00457162
0.540609,0.00756125
0.53737,0.0105809
0.534099,0.0136304
0.530795,0.0167098
0.527457,0.0198189
0.524086,0.0229577
0.520679,0.0261261
0.517237,0.0293238
0.513758,0.0325508
0.510242,0.0358069
0.506688,0.0390919
0.503095,0.0424056
0.499463,0.0457479
0.495789,0.0491184
0.492075,0.0525169
0.488317,0.0559431
0.484517,0.0593968
0.480672,0.0628775
0.476781,0.066385
0.472845,0.0699188
0.468861,0.0734786
0.464828,0.0770638
0.460746,0.080674
0.456614,0.0843087
0.45243,0.0879674
0.448192,0.0916493
0.443901,0.0953541
0.439554,0.0990808
0.435151,0.102829
0.43069,0.106598
0.42617,0.110386
0.42159,0.114193
0.416948,0.118018
0.412243,0.121861
0.407474,0.125719
0.402638,0.129592
0.397736,0.133479
0.392765,0.137378
0.387725,0.141288
0.382613,0.145209
0.377427,0.149137
0.372168,0.153072
0.366833,0.157013
0.36142,0.160957
0.355929,0.164902
0.350357,0.168848
0.344704,0.172791
0.338968,0.176729
0.333146,0.180661
0.327239,0.184585
0.321245,0.188496
0.315161,0.192394
0.308987,0.196276
0.302722,0.200138
0.296364,0.203978
0.289912,0.207792
0.283365,0.211578
0.276722,0.215333
0.269982,0.219052
0.263145,0.222732
0.256208,0.22637
0.249172,0.229961
0.242037,0.233502
0.234801,0.236989
0.227465,0.240417
0.220029,0.243783
0.212492,0.247081
0.204856,0.250307
0.19712,0.253457
0.189286,0.256526
0.181354,0.259508
0.173326,0.2624
0.165203,0.265197
0.156986,0.267893
0.148679,0.270484
0.140283,0.272965
0.131801,0.27533
0.123236,0.277576
0.114591,0.279698
0.10587,0.281691
0.097076,0.28355
0.0882136,0.285272
0.0792873,0.286852
0.0703017,0.288287
0.0612617,0.289573
0.0521727,0.290707
0.04304,0.291685
0.0338694,0.292506
0.0246668,0.293166
0.0154381,0.293664
0.00618966,0.293999
-0.00307236,0.294168
-0.0123415,0.294173
-0.0216115,0.294011
-0.0308757,0.293683
-0.0401279,0.29319
-0.0493616,0.292533
-0.0585706,0.291712
-0.0677487,0.29073
-0.07689,0.289589
-0.0859886,0.288291
-0.0950388,0.286839
-0.104035,0.285236
-0.112973,0.283485
-0.121847,0.281591
-0.130652,0.279557
-0.139385,0.277387
-0.148041,0.275086
-0.156616,0.272657
-0.165108,0.270107
-0.173512,0.26744
-0.181827,0.26466
-0.190049,0.261772
-0.198176,0.258781
-0.206208,0.255693
-0.214141,0.252512
-0.221974,0.249244
-0.229707,0.245892
-0.237338,0.242462
-0.244867,0.238959
-0.252294,0.235386
-0.259618,0.23175
-0.266839,0.228054
-0.273957,0.224303
-0.280974,0.2205
-0.287888,0.216651
-0.294701,0.212758
-0.301414,0.208826
-0.308027,0.204858
-0.314541,0.200858
-0.320958,0.19683
-0.327279,0.192776
-0.333504,0.188701
-0.339636,0.184606
-0.345675,0.180495
-0.351622,0.17637
-0.35748,0.172235
-0.36325,0.168091
-0.368932,0.163942
-0.37453,0.159788
-0.380043,0.155634
-0.385475,0.15148
-0.390825,0.147329
-0.396096,0.143182
-0.40129,0.139041
-0.406407,0.134908
-0.41145,0.130785
-0.41642,0.126673
-0.421318,0.122573
-0.426146,0.118487
-0.430905,0.114415
-0.435597,0.11036
-0.440223,0.106323
-0.444785,0.102303
-0.449284,0.0983032
-0.453721,0.0943234
-0.458098,0.0903647
-0.462416,0.086428
-0.466676,0.082514
-0.47088,0.0786234
-0.475029,0.0747569
-0.479123,0.0709152
-0.483165,0.0670988
-0.487156,0.0633082
-0.491095,0.059544
-0.494986,0.0558066
-0.498828,0.0520965
-0.502622,0.0484141
-0.506371,0.0447597
-0.510074,0.0411337
-0.513733,0.0375364
-0.517349,0.0339681
-0.520923,0.030429
-0.524455,0.0269194
-0.527946,0.0234396
-0.531398,0.0199896
-0.534811,0.0165697
-0.538186,0.0131801
-0.541524,0.00982082
-0.544826,0.00649205
-0.548091,0.00319387
-0.551322,-7.36162e-05
-0.554519,-0.00331034
-0.557682,-0.00651624
-0.560812,-0.00969126
-0.563911,-0.0128354
-0.566977,-0.0159486
-0.570013,-0.0190308
-0.573018,-0.0220821
-0.575994,-0.0251024
-0.578941,-0.0280919
-0.581859,-0.0310504
-0.584749,-0.033978
-0.587611,-0.0368749
-0.590447,-0.0397409
-0.593256,-0.0425763
-0.596039,-0.045381
-0.598796,-0.0481551
-0.601529,-0.0508986
-0.604236,-0.0536118
-0.60692,-0.0562946
-0.60958,-0.0589471
-0.612216,-0.0615695
-0.614829,-0.0641618
-0.61742,-0.0667242
-0.619989,-0.0692567
-0.622535,-0.0717595
-0.62506,-0.0742326
-0.627564,-0.0766763
-0.630047,-0.0790905
-0.63251,-0.0814755
-0.634952,-0.0838314
-0.637374,-0.0861582
-0.639777,-0.0884562
-0.64216,-0.0907254
-0.644524,-0.092966
-0.646869,-0.0951782
-0.649196,-0.097362
-0.651505,-0.0995176
-0.653795,-0.101645
-0.656067,-0.103745
-0.658322,-0.105817
-0.66056,-0.107861
-0.66278,-0.109878
-0.664983,-0.111868
-0.66717,-0.11383
-0.66934,-0.115765
-0.671493,-0.117674
-0.67363,-0.119556
-0.675751,-0.121411
-0.677856,-0.12324
-0.679946,-0.125042
-0.68202,-0.126819
-0.684078,-0.128569
-0.686121,-0.130294
-0.688149,-0.131993
-0.690162,-0.133667
-0.692161,-0.135316
-0.694144,-0.136939
-0.696113,-0.138537
-0.698067,-0.140111
-0.700007,-0.141659
-0.701932,-0.143184
-0.703844,-0.144684
-0.705741,-0.146159
-0.707624,-0.147611
-0.709494,-0.149039
-0.711349,-0.150443
-0.713191,-0.151823
-0.715019,-0.15318
-0.716834,-0.154514
-0.718635,-0.155825
-0.720423,-0.157113
-0.722197,-0.158378
-0.723958,-0.15962
-0.725706,-0.160841
-0.727441,-0.162038
-0.729163,-0.163214
-0.730871,-0.164367
-0.732567,-0.165499
-0.734249,-0.166609
-0.735919,-0.167698
-0.737576,-0.168765
-0.73922,-0.169812
-0.740851,-0.170837
-0.74247,-0.171841
-0.744076,-0.172824
-0.745669,-0.173787
-0.747249,-0.17473
-0.748817,-0.175652
-0.750373,-0.176555
-0.751915,-0.177437
-0.753446,-0.1783
-0.754963,-0.179142
-0.756469,-0.179966
-0.757961,-0.18077
-0.759442,-0.181555
-0.76091,-0.182321
-0.762365,-0.183068
-0.763808,-0.183797
-0.765238,-0.184507
-0.766657,-0.185199
-0.768062,-0.185872
-0.769456,-0.186527
-0.770836,-0.187165
-0.772205,-0.187784
-0.773561,-0.188387
-0.774905,-0.188971
-0.776236,-0.189539
-0.777555,-0.190089
-0.778862,-0.190622
-0.780156,-0.191138
-0.781438,-0.191638
-0.782707,-0.192121
-0.783964,-0.192588
-0.785208,-0.193038
-0.78644,-0.193473
-0.78766,-0.193891
-0.788867,-0.194294
-0.790061,-0.194681
-0.791244,-0.195053
-0.792413,-0.19541
-0.79357,-0.195751
-0.794715,-0.196077
-0.795847,-0.196388
-0.796966,-0.196685
-0.798073,-0.196967
-0.799167,-0.197235
-0.800249,-0.197488
-0.801318,-0.197727
-0.802374,-0.197953
-0.803417,-0.198164
-0.804448,-0.198362
-0.805466,-0.198546
-0.806472,-0.198717
-0.807464,-0.198875
-0.808444,-0.19902
-0.809411,-0.199152
-0.810365,-0.199271
-0.811306,-0.199377
-0.812235,-0.199471
-0.81315,-0.199553
-0.814052,-0.199622
-0.814942,-0.19968
-0.815818,-0.199725
-0.816681,-0.199759
-0.817532,-0.199782
-0.818369,-0.199792
-0.819193,-0.199792
-0.820004,-0.199781
-0.820802,-0.199758
-0.821586,-0.199725
-0.822358,-0.199681
-0.823116,-0.199626
-0.82386,-0.199561
-0.824592,-0.199486
-0.82531,-0.199401
-0.826014,-0.199306
-0.826705,-0.199201
-0.827383,-0.199086
-0.828047,-0.198962
-0.828698,-0.198829
-0.829335,-0.198686
-0.829959,-0.198535
-0.830569,-0.198374
-0.831165,-0.198205
-0.831748,-0.198027
-0.832317,-0.19784
-0.832872,-0.197646
-0.833414,-0.197443
-0.833941,-0.197232
-0.834455,-0.197013
-0.834955,-0.196787
-0.835441,-0.196552
-0.835913,-0.196311
-0.836371,-0.196062
-0.836815,-0.195806
-0.837245,-0.195543
-0.837661,-0.195274
-0.838063,-0.194997
-0.83845,-0.194714
-0.838824,-0.194425
-0.839183,-0.194129
-0.839528,-0.193828
-0.839859,-0.19352
-0.840175,-0.193207
-0.840478,-0.192888
-0.840765,-0.192563
-0.841039,-0.192233
-0.841298,-0.191898
-0.841542,-0.191557
-0.841772,-0.191212
-0.841987,-0.190862
-0.842188,-0.190508
-0.842374,-0.190149
-0.842546,-0.189785
-0.842702,-0.189418
-0.842844,-0.189046
-0.842972,-0.188671
-0.843084,-0.188292
-0.843182,-0.187909
-0.843265,-0.187522
-0.843333,-0.187133
-0.843386,-0.18674
-0.843424,-0.186345
-0.843447,-0.185946
-0.843455,-0.185545
-0.843448,-0.185141
-0.843426,-0.184735
-0.843389,-0.184326
-0.843337,-0.183916
-0.843269,-0.183503
-0.843187,-0.183089
-0.843089,-0.182673
-0.842975,-0.182255
-0.842847,-0.181836
-0.842703,-0.181416
-0.842543,-0.180994
-0.842368,-0.180572
-0.842178,-0.180149
-0.841972,-0.179725
-0.841751,-0.179301
-0.841514,-0.178877
-0.841262,-0.178452
-0.840994,-0.178027
-0.84071,-0.177603
-0.84041,-0.177178
-0.840095,-0.176754
-0.839764,-0.176331
-0.839418,-0.175908
-0.839055,-0.175486
-0.838676,-0.175065
-0.838282,-0.174645
-0.837872,-0.174227
-0.837445,-0.17381
-0.837003,-0.173394
-0.836545,-0.17298
-0.83607,-0.172568
-0.83558,-0.172158
-0.835073,-0.171751
-0.83455,-0.171345
-0.834011,-0.170942
-0.833455,-0.170542
-0.832884,-0.170144
-0.832296,-0.169749
-0.831691,-0.169357
-0.83107,-0.168969
-0.830433,-0.168584
-0.829779,-0.168202
-0.829109,-0.167824
-0.828422,-0.16745
-0.827719,-0.167079
-0.826999,-0.166713
-0.826262,-0.166351
-0.825508,-0.165993
-0.824738,-0.16564
-0.823951,-0.165292
-0.823147,-0.164948
-0.822327,-0.164609
-0.821489,-0.164276
-0.820634,-0.163948
-0.819763,-0.163625
-0.818874,-0.163307
-0.817969,-0.162995
-0.817046,-0.16269
-0.816106,-0.16239
-0.815149,-0.162096
-0.814174,-0.161808
-0.813183,-0.161527
-0.812174,-0.161253
-0.811147,-0.160985
-0.810103,-0.160724
-0.809042,-0.16047
-0.807963,-0.160223
-0.806867,-0.159984
-0.805753,-0.159752
-0.804621,-0.159527
-0.803472,-0.159311
-0.802305,-0.159102
-0.80112,-0.158901
-0.799917,-0.158708
-0.798696,-0.158524
-0.797457,-0.158348
-0.796201,-0.15818
-0.794926,-0.158022
-0.793633,-0.157872
-0.792322,-0.157731
-0.790992,-0.1576
-0.789645,-0.157477
-0.788279,-0.157365
-0.786894,-0.157261
-0.785491,-0.157168
-0.784069,-0.157084
-0.782629,-0.157011
-0.78117,-0.156947
-0.779693,-0.156894
-0.778196,-0.156851
-0.776681,-0.156819
-0.775147,-0.156797
-0.773594,-0.156787
-0.772021,-0.156787
-0.77043,-0.156799
-0.768819,-0.156821
-0.767189,-0.156856
-0.76554,-0.156901
-0.763871,-0.156959
-0.762182,-0.157028
-0.760474,-0.157109
-0.758747,-0.157202
-0.756999,-0.157308
-0.755232,-0.157425
-0.753444,-0.157556
-0.751637,-0.157698
-0.749809,-0.157854
-0.747961,-0.158022
-0.746093,-0.158204
-0.744204,-0.158399
-0.742295,-0.158606
-0.740365,-0.158828
-0.738414,-0.159062
-0.736443,-0.159311
-0.73445,-0.159573
-0.732437,-0.159849
-0.730402,-0.160139
-0.728346,-0.160443
-0.726269,-0.160762
-0.72417,-0.161095
-0.722049,-0.161442
-0.719907,-0.161804
-0.717742,-0.162181
-0.715556,-0.162572
-0.713347,-0.162979
-0.711116,-0.163401
-0.708863,-0.163837
-0.706587,-0.16429
-0.704288,-0.164757
-0.701967,-0.16524
-0.699622,-0.165739
-0.697254,-0.166253
-0.694863,-0.166783
-0.692448,-0.16733
-0.69001,-0.167892
-0.687547,-0.16847
-0.685061,-0.169065
-0.68255,-0.169676
-0.680015,-0.170303
-0.677456,-0.170947
-0.674871,-0.171607
-0.672262,-0.172284
-0.669627,-0.172978
-0.666967,-0.173689
-0.664282,-0.174416
-0.66157,-0.175161
-0.658833,-0.175922
-0.656069,-0.176701
-0.653279,-0.177497
-0.650462,-0.17831
-0.647618,-0.17914
-0.644747,-0.179988
-0.641849,-0.180853
-0.638923,-0.181735
-0.635968,-0.182636
-0.632986,-0.183553
-0.629975,-0.184488
-0.626936,-0.185441
-0.623867,-0.186411
-0.620769,-0.187399
-0.617641,-0.188405
-0.614483,-0.189428
-0.611295,-0.190469
-0.608076,-0.191528
-0.604827,-0.192604
-0.601546,-0.193698
-0.598233,-0.19481
-0.594889,-0.195939
-0.591512,-0.197085
-0.588102,-0.19825
-0.58466,-0.199431
-0.581184,-0.20063
-0.577674,-0.201847
-0.574129,-0.20308
-0.57055,-0.204331
-0.566936,-0.205599
-0.563287,-0.206884
-0.559602,-0.208186
-0.55588,-0.209504
-0.552121,-0.210839
-0.548325,-0.212191
-0.544491,-0.213559
-0.540619,-0.214943
-0.536708,-0.216343
-0.532757,-0.217758
-0.528767,-0.21919
-0.524737,-0.220636
-0.520665,-0.222098
-0.516552,-0.223574
-0.512397,-0.225065
-0.5082,-0.226571
-0.503959,-0.22809
-0.499674,-0.229623
-0.495345,-0.231169
-0.490971,-0.232728
-0.486551,-0.234299
-0.482085,-0.235882
-0.477572,-0.237477
-0.473011,-0.239084
-0.468402,-0.240701
-0.463744,-0.242328
-0.459035,-0.243964
-0.454277,-0.24561
-0.449467,-0.247264
-0.444605,-0.248926
-0.43969,-0.250595
-0.434722,-0.25227
-0.4297,-0.253951
-0.424622,-0.255637
-0.419488,-0.257327
-0.414298,-0.25902
-0.40905,-0.260716
-0.403744,-0.262413
-0.398379,-0.26411
-0.392953,-0.265806
-0.387466,-0.267501
-0.381918,-0.269193
-0.376307,-0.27088
-0.370633,-0.272562
-0.364894,-0.274238
-0.35909,-0.275905
-0.35322,-0.277563
-0.347282,-0.27921
-0.341277,-0.280844
-0.335204,-0.282464
-0.32906,-0.284067
-0.322847,-0.285653
-0.316562,-0.28722
-0.310205,-0.288764
-0.303776,-0.290285
-0.297273,-0.29178
-0.290696,-0.293247
-0.284044,-0.294684
-0.277316,-0.296088
-0.270513,-0.297457
-0.263633,-0.298788
-0.256676,-0.300079
-0.249641,-0.301326
-0.242529,-0.302527
-0.235338,-0.303679
-0.228069,-0.304778
-0.220722,-0.305822
-0.213297,-0.306807
-0.205793,-0.30773
-0.198211,-0.308587
-0.190551,-0.309375
-0.182815,-0.31009
-0.175001,-0.310729
-0.167112,-0.311286
-0.159149,-0.311759
-0.151111,-0.312144
-0.143002,-0.312435
-0.134822,-0.31263
-0.126572,-0.312724
-0.118257,-0.312712
-0.109876,-0.312592
-0.101433,-0.312357
-0.0929306,-0.312004
-0.0843717,-0.31153
-0.0757595,-0.310929
-0.0670976,-0.310198
-0.0583897,-0.309332
-0.0496399,-0.308329
-0.0408526,-0.307184
-0.0320323,-0.305893
-0.023184,-0.304454
-0.0143127,-0.302862
-0.00542397,-0.301117
0.00347669,-0.299214
0.0123834,-0.297151
0.0212901,-0.294927
0.0301906,-0.29254
0.0390786,-0.289988
0.0479474,-0.287271
0.0567906,-0.284389
0.0656014,-0.281341
0.0743731,-0.278128
0.0830992,-0.27475
0.0917729,-0.27121
0.100388,-0.267507
0.108937,-0.263646
0.117415,-0.259628
0.125815,-0.255457
0.134131,-0.251135
0.142359,-0.246668
0.150491,-0.242057
0.158524,-0.237309
0.166452,-0.232429
0.174272,-0.22742
0.181979,-0.222288
0.189569,-0.217039
0.197039,-0.211679
0.204387,-0.206213
0.21161,-0.200646
0.218705,-0.194986
0.225671,-0.189238
0.232507,-0.183408
0.239211,-0.177501
0.245783,-0.171525
0.252223,-0.165484
0.25853,-0.159384
0.264704,-0.153232
0.270747,-0.147032
0.276659,-0.14079
0.282441,-0.134512
0.288094,-0.128201
0.293619,-0.121864
0.299019,-0.115504
0.304295,-0.109127
0.309449,-0.102736
0.314483,-0.0963354
0.319399,-0.0899298
0.3242,-0.0835226
0.328887,-0.0771172
0.333463,-0.0707171
0.337931,-0.0643253
0.342293,-0.057945
0.346552,-0.051579
0.350709,-0.0452298
0.354769,-0.0389001
0.358732,-0.032592
0.362602,-0.0263079
0.366382,-0.0200497
0.370073,-0.0138194
0.373679,-0.00761872
0.377201,-0.0014493
0.380643,0.00468733
0.384006,0.0107898
0.387293,0.0168567
0.390507,0.0228869
0.393649,0.0288794
0.396721,0.034833
0.399727,0.040747
0.402667,0.0466204
0.405545,0.0524524
0.408362,0.0582425
0.41112,0.0639899
0.413821,0.0696942
0.416468,0.0753548
0.41906,0.0809713
0.421602,0.0865433
0.424094,0.0920704
0.426537,0.0975525
0.428935,0.102989
0.431287,0.10838
0.433597,0.113726
0.435864,0.119025
0.438091,0.124279
0.44028,0.129486
0.44243,0.134648
0.444545,0.139763
0.446624,0.144832
0.44867,0.149855
0.450683,0.154833
0.452665,0.159764
0.454616,0.164649
0.456538,0.169489
0.458432,0.174283
0.460299,0.179032
0.46214,0.183735
0.463955,0.188394
0.465746,0.193007
0.467514,0.197575
0.469259,0.202099
0.470982,0.206579
0.472684,0.211014
0.474366,0.215406
0.476029,0.219753
0.477672,0.224057
0.479298,0.228318
0.480906,0.232536
0.482497,0.236711
0.484072,0.240843
0.485632,0.244934
0.487176,0.248982
0.488706,0.252988
0.490222,0.256953
0.491724,0.260876
0.493214,0.264758
0.494691,0.2686
0.496156,0.272401
0.49761,0.276162
0.499052,0.279883
0.500483,0.283564
0.501904,0.287205
0.503315,0.290808
0.504717,0.294371
0.506109,0.297896
0.507492,0.301382
0.508867,0.30483
0.510233,0.30824
0.511591,0.311613
0.512941,0.314948
0.514284,0.318245
0.51562,0.321506
0.516948,0.324731
0.51827,0.327919
0.519585,0.33107
0.520894,0.334186
0.522197,0.337266
0.523494,0.340311
0.524785,0.34332
0.52607,0.346295
0.52735,0.349235
0.528625,0.35214
0.529895,0.355011
0.53116,0.357848
0.53242,0.360652
0.533675,0.363421
0.534926,0.366158
0.536172,0.368861
0.537414,0.371532
0.538652,0.374169
0.539886,0.376775
0.541115,0.379348
0.542341,0.381889
0.543563,0.384398
0.544781,0.386876
0.545995,0.389323
0.547206,0.391738
0.548412,0.394122
0.549616,0.396476
0.550816,0.398799
0.552012,0.401092
0.553205,0.403354
0.554395,0.405587
0.555581,0.40779
0.556764,0.409963
0.557943,0.412107
0.55912,0.414222
0.560293,0.416308
0.561462,0.418365
0.562629,0.420394
0.563792,0.422394
0.564952,0.424366
0.566108,0.42631
0.567262,0.428226
0.568412,0.430115
0.569558,0.431976
0.570702,0.433809
0.571842,0.435616
0.572978,0.437396
0.574112,0.439149
0.575242,0.440875
0.576368,0.442575
0.577491,0.444248
0.578611,0.445896
0.579727,0.447517
0.580839,0.449113
0.581948,0.450683
0.583053,0.452228
0.584154,0.453748
0.585252,0.455242
0.586346,0.456712
0.587436,0.458157
0.588522,0.459577
0.589604,0.460973
0.590683,0.462344
0.591757,0.463692
0.592827,0.465015
0.593893,0.466315
0.594954,0.467591
0.596012,0.468843
0.597065,0.470072
0.598113,0.471278
0.599157,0.472461
0.600197,0.473621
0.601232,0.474758
0.602262,0.475873
0.603287,0.476965
0.604307,0.478035
0.605323,0.479083
0.606334,0.480109
0.607339,0.481112
0.608339,0.482095
0.609335,0.483055
0.610324,0.483995
0.611309,0.484912
0.612288,0.485809
0.613261,0.486685
0.614229,0.48754
0.615191,0.488374
0.616147,0.489188
0.617097,0.489981
0.618042,0.490754
0.61898,0.491507
0.619912,0.49224
0.620838,0.492953
0.621757,0.493646
0.622671,0.49432
0.623577,0.494974
0.624477,0.495609
0.625371,0.496225
0.626257,0.496822
0.627137,0.4974
0.62801,0.497959
0.628875,0.498499
0.629734,0.499021
0.630585,0.499525
0.631429,0.50001
0.632265,0.500478
0.633094,0.500927
0.633916,0.501359
0.634729,0.501773
0.635535,0.502169
