2.7183,2.80463,2.8936,2.9852,3.07942,3.17621,3.27554,3.37736,3.4816,3.58819,3.69704,3.80805,3.92109,4.03605,4.15277,4.2711,4.39086,4.51186,4.6339,4.75677,4.88022,5.00402,5.12789,5.25158,5.37479,5.49722,5.61858,5.73854,5.85678,5.97297,6.08677,6.19785,6.30585
2.63465,2.71832,2.80456,2.89334,2.98465,3.07846,3.17474,3.27343,3.37446,3.47777,3.58327,3.69086,3.80043,3.91185,4.02498,4.13966,4.25574,4.37302,4.4913,4.61039,4.73004,4.85003,4.97009,5.08997,5.20939,5.32805,5.44567,5.56194,5.67654,5.78916,5.89946,6.00712,6.1118
2.55359,2.63468,2.71825,2.8043,2.8928,2.98373,3.07704,3.17269,3.27062,3.37075,3.473,3.57728,3.68348,3.79147,3.90112,4.01227,4.12477,4.23844,4.35309,4.46851,4.58448,4.70077,4.81714,4.93333,5.04908,5.16409,5.27809,5.39078,5.50186,5.61101,5.71792,5.82228,5.92376
2.47502,2.55361,2.63461,2.71801,2.80378,2.89191,2.98235,3.07506,3.16997,3.26702,3.36613,3.4672,3.57013,3.67479,3.78107,3.8888,3.99784,4.10801,4.21913,4.331,4.4434,4.55612,4.66891,4.78152,4.8937,5.00518,5.11567,5.22489,5.33255,5.43835,5.54198,5.64313,5.7415
2.39888,2.47504,2.55354,2.63437,2.71751,2.80292,2.89058,2.98043,3.07242,3.16649,3.26254,3.3605,3.46026,3.56171,3.66471,3.76913,3.87482,3.9816,4.0893,4.19772,4.30667,4.41591,4.52523,4.63438,4.74311,4.85116,4.95825,5.06412,5.16846,5.27101,5.37145,5.4695,5.56486
2.32507,2.39889,2.47497,2.55331,2.63389,2.71667,2.80163,2.88872,2.97788,3.06905,3.16215,3.25709,3.35378,3.4521,3.55194,3.65315,3.75558,3.85907,3.96346,4.06855,4.17414,4.28002,4.38598,4.49177,4.59715,4.70188,4.80568,4.90829,5.00943,5.10882,5.20618,5.30121,5.39364
2.25353,2.32508,2.39882,2.47475,2.55284,2.63308,2.71542,2.79982,2.88624,2.9746,3.06484,3.15686,3.25058,3.34587,3.44264,3.54073,3.64001,3.74032,3.84149,3.94335,4.04569,4.14832,4.25101,4.35355,4.45569,4.55719,4.6578,4.75726,4.85529,4.95162,5.04599,5.13811,5.2277
2.1842,2.25354,2.32501,2.3986,2.47429,2.55205,2.63186,2.71367,2.79743,2.88307,2.97053,3.05972,3.15055,3.24291,3.3367,3.43177,3.528,3.62522,3.72328,3.822,3.9212,4.02067,4.1202,4.21958,4.31858,4.41696,4.51448,4.61087,4.70589,4.79927,4.89073,4.98002,5.06686
2.117,2.1842,2.25347,2.3248,2.39815,2.47353,2.55088,2.63017,2.71134,2.79435,2.87912,2.96556,3.0536,3.14312,3.23402,3.32617,3.41943,3.51367,3.60871,3.70439,3.80053,3.89694,3.99342,4.08974,4.1857,4.28105,4.37557,4.469,4.5611,4.6516,4.74026,4.8268,4.91097
2.05187,2.117,2.18414,2.25326,2.32436,2.39741,2.47238,2.54923,2.62791,2.70836,2.79052,2.87431,2.95963,3.0464,3.1345,3.22381,3.31421,3.40554,3.49766,3.5904,3.68359,3.77703,3.87053,3.9639,4.0569,4.14932,4.24093,4.33149,4.42075,4.50848,4.59441,4.67829,4.75987
1.98874,2.05187,2.11693,2.18393,2.25284,2.32365,2.39631,2.47079,2.54705,2.62502,2.70465,2.78586,2.86856,2.95266,3.03805,3.12461,3.21222,3.30075,3.39003,3.47992,3.57024,3.66081,3.75143,3.84192,3.93207,4.02165,4.11044,4.19821,4.28473,4.36976,4.45305,4.53435,4.61343
1.92755,1.98874,2.0518,2.11673,2.18352,2.25215,2.32257,2.39476,2.46867,2.54425,2.62143,2.70013,2.78029,2.8618,2.94456,3.02846,3.11338,3.19918,3.28572,3.37284,3.46038,3.54816,3.636,3.72371,3.81108,3.8979,3.98396,4.06904,4.1529,4.23531,4.31604,4.39484,4.47149
1.86825,1.92755,1.98867,2.05161,2.11634,2.18285,2.2511,2.32107,2.39271,2.46596,2.54076,2.61705,2.69473,2.77373,2.85395,2.93527,3.01757,3.10073,3.18461,3.26905,3.3539,3.43898,3.52412,3.60913,3.69381,3.77796,3.86138,3.94384,4.02512,4.105,4.18324,4.25963,4.33391
1.81077,1.86824,1.92748,1.98848,2.05122,2.11568,2.18184,2.24965,2.31908,2.39008,2.46258,2.53651,2.61181,2.68838,2.76613,2.84495,2.92472,3.00532,3.08661,3.16846,3.25069,3.33316,3.41568,3.49807,3.58015,3.66172,3.74257,3.82249,3.90127,3.97869,4.05453,4.12857,4.20057
1.75505,1.81076,1.86818,1.9273,1.98811,2.05058,2.1147,2.18043,2.24772,2.31653,2.3868,2.45846,2.53144,2.60566,2.68101,2.7574,2.83472,2.91284,2.99163,3.07096,3.15067,3.23059,3.31058,3.39044,3.46999,3.54905,3.62741,3.70488,3.78124,3.85628,3.92979,4.00154,4.07134
1.70106,1.75505,1.8107,1.868,1.92693,1.98749,2.04963,2.11334,2.17856,2.24525,2.31336,2.38281,2.45355,2.52548,2.59851,2.67255,2.74749,2.82321,2.89958,2.97646,3.05372,3.13119,3.20871,3.28611,3.36322,3.43984,3.5158,3.59088,3.66489,3.73763,3.80888,3.87843,3.94607
1.64872,1.70105,1.75498,1.81052,1.86764,1.92633,1.98656,2.04831,2.11152,2.17616,2.24217,2.30949,2.37805,2.44776,2.51855,2.59031,2.66295,2.73633,2.81035,2.88487,2.95975,3.03484,3.10997,3.185,3.25973,3.334,3.40762,3.48039,3.55213,3.62263,3.69169,3.7591,3.82467
