0,1,2.71828
0.03125,1,2.80456
0.0625,1,2.89348
0.09375,1,2.98504
0.125,1,3.07922
0.15625,1,3.17598
0.1875,1,3.27528
0.21875,1,3.37707
0.25,1,3.48129
0.28125,1,3.58786
0.3125,1,3.69669
0.34375,1,3.80768
0.375,1,3.92071
0.40625,1,4.03565
0.4375,1,4.15236
0.46875,1,4.27067
0.5,1,4.39042
0.53125,1,4.51142
0.5625,1,4.63345
0.59375,1,4.75631
0.625,1,4.87977
0.65625,1,5.00356
0.6875,1,5.12744
0.71875,1,5.25114
0.75,1,5.37436
0.78125,1,5.49681
0.8125,1,5.61818
0.84375,1,5.73817
0.875,1,5.85645
0.90625,1,5.97269
0.9375,1,6.08655
0.96875,1,6.1977
1,1,6.30581
0,0.96875,2.63465
0.03125,0.968941,2.71879
0.0625,0.969131,2.80552
0.09375,0.969317,2.89484
0.125,0.969497,2.98671
0.15625,0.969671,3.08109
0.1875,0.969835,3.17795
0.21875,0.969989,3.27723
0.25,0.970131,3.37884
0.28125,0.97026,3.48272
0.3125,0.970374,3.58877
0.34375,0.970473,3.69689
0.375,0.970554,3.80694
0.40625,0.970619,3.9188
0.4375,0.970666,4.03231
0.46875,0.970694,4.14733
0.5,0.970703,4.26366
0.53125,0.970694,4.38112
0.5625,0.970666,4.4995
0.59375,0.970619,4.6186
0.625,0.970554,4.73817
0.65625,0.970473,4.85798
0.6875,0.970374,4.97776
0.71875,0.97026,5.09726
0.75,0.970131,5.2162
0.78125,0.969989,5.33429
0.8125,0.969835,5.45124
0.84375,0.969671,5.56675
0.875,0.969497,5.68051
0.90625,0.969317,5.79221
0.9375,0.969131,5.90153
0.96875,0.968941,6.00817
1,0.96875,6.1118
0,0.9375,2.55359
0.03125,0.937883,2.63564
0.0625,0.938262,2.72024
0.09375,0.938634,2.80736
0.125,0.938995,2.89698
0.15625,0.939341,2.98905
0.1875,0.93967,3.08352
0.21875,0.939978,3.18033
0.25,0.940262,3.27941
0.28125,0.94052,3.38067
0.3125,0.940748,3.48401
0.34375,0.940945,3.58932
0.375,0.941109,3.69647
0.40625,0.941238,3.80533
0.4375,0.941331,3.91574
0.46875,0.941387,4.02754
0.5,0.941406,4.14055
0.53125,0.941387,4.25458
0.5625,0.941331,4.36943
0.59375,0.941238,4.48487
0.625,0.941109,4.60068
0.65625,0.940945,4.71662
0.6875,0.940748,4.83245
0.71875,0.94052,4.9479
