2.71895,2.80521,2.89413,2.98568,3.07984,3.17659,3.27588,3.37766,3.48186,3.58841,3.69722,3.80819,3.92119,4.03611,4.15279,4.27108,4.3908,4.51176,4.63376,4.75658,4.87999,5.00375,5.12758,5.25123,5.37439,5.49679,5.6181,5.73803,5.85623,5.97239,6.08617,6.19723,6.30523
2.63528,2.7189,2.80507,2.89381,2.98507,3.07884,3.17508,3.27372,3.37472,3.47799,3.58345,3.691,3.80053,3.9119,4.02499,4.13964,4.25567,4.37291,4.49116,4.6102,4.72981,4.84976,4.96978,5.08962,5.20899,5.32762,5.4452,5.56143,5.67599,5.78857,5.89885,6.00648,6.11116
2.55419,2.63523,2.71876,2.80476,2.89322,2.9841,3.07737,3.17298,3.27087,3.37096,3.47318,3.57742,3.68357,3.79152,3.90113,4.01225,4.12471,4.23834,4.35294,4.46832,4.58425,4.7005,4.81683,4.93298,5.04868,5.16365,5.27761,5.39026,5.5013,5.61041,5.71729,5.82162,5.92307
2.4756,2.55414,2.6351,2.71845,2.80419,2.89228,2.98268,3.07534,3.17022,3.26723,3.3663,3.46733,3.57022,3.67484,3.78108,3.88877,3.99777,4.1079,4.21898,4.33081,4.44317,4.55584,4.66859,4.78116,4.8933,5.00473,5.11518,5.22437,5.33198,5.43774,5.54133,5.64244,5.74078
2.39942,2.47555,2.55401,2.6348,2.7179,2.80328,2.89089,2.98071,3.07266,3.16669,3.26271,3.36063,3.46035,3.56175,3.66472,3.7691,3.87474,3.98148,4.08914,4.19753,4.30643,4.41563,4.52491,4.63401,4.7427,4.8507,4.95775,5.06358,5.16788,5.27038,5.37078,5.46878,5.56409
2.32558,2.39937,2.47542,2.55372,2.63426,2.71701,2.80193,2.88898,2.97811,3.06924,3.1623,3.25721,3.35386,3.45214,3.55194,3.65311,3.7555,3.85895,3.9633,4.06835,4.1739,4.27974,4.38565,4.4914,4.59674,4.70142,4.80517,4.90774,5.00883,5.10818,5.20549,5.30047,5.39285
2.25401,2.32553,2.39924,2.47514,2.5532,2.6334,2.71571,2.80008,2.88646,2.97479,3.06499,3.15697,3.25065,3.34591,3.44263,3.54068,3.63992,3.7402,3.84133,3.94314,4.04544,4.14803,4.25068,4.35317,4.45527,4.55672,4.65729,4.75669,4.85468,4.95096,5.04528,5.13734,5.22688
2.18465,2.25397,2.32541,2.39897,2.47463,2.55236,2.63214,2.71391,2.79763,2.88324,2.97066,3.05982,3.15061,3.24294,3.33668,3.43172,3.52791,3.62509,3.72311,3.82179,3.92094,4.02037,4.11986,4.2192,4.31815,4.41648,4.51395,4.6103,4.70527,4.79859,4.89,4.97923,5.06601
2.11742,2.1846,2.25385,2.32515,2.39848,2.47382,2.55114,2.6304,2.71154,2.79451,2.87924,2.96565,3.05365,3.14314,3.234,3.32611,3.41933,3.51353,3.60853,3.70417,3.80027,3.89664,3.99307,4.08935,4.18525,4.28056,4.37503,4.46841,4.56046,4.65091,4.73951,4.82599,4.9101
2.05226,2.11738,2.18449,2.25359,2.32467,2.39769,2.47263,2.54945,2.6281,2.70851,2.79064,2.87439,2.95968,3.04641,3.13447,3.22375,3.3141,3.4054,3.49748,3.59017,3.68332,3.77671,3.87018,3.96349,4.05645,4.14882,4.24038,4.33089,4.4201,4.50777,4.59364,4.67747,4.75899
