2.71835,2.72899,2.73967,2.75039,2.76115,2.77196,2.7828,2.79369,2.80462,2.81559,2.8266,2.83765,2.84875,2.85988,2.87106,2.88228,2.89354,2.90484,2.91618,2.92757,2.93899,2.95046,2.96196,2.97351,2.9851,2.99673,3.0084,3.02011,3.03186,3.04365,3.05549,3.06736,3.07927,3.09123,3.10322,3.11526,3.12733,3.13945,3.1516,3.1638,3.17603,3.18831,3.20062,3.21298,3.22537,3.2378,3.25027,3.26279,3.27534,3.28792,3.30055,3.31322,3.32592,3.33867,3.35145,3.36427,3.37713,3.39002,3.40296,3.41593,3.42894,3.44198,3.45507,3.46819,3.48135,3.49454,3.50777,3.52104,3.53434,3.54768,3.56106,3.57447,3.58791,3.6014,3.61491,3.62847,3.64205,3.65567,3.66933,3.68302,3.69674,3.7105,3.72429,3.73812,3.75197,3.76586,3.77979,3.79374,3.80773,3.82175,3.8358,3.84988,3.864,3.87814,3.89232,3.90652,3.92076,3.93502,3.94932,3.96364,3.978,3.99238,4.00679,4.02123,4.0357,4.05019,4.06471,4.07926,4.09384,4.10844,4.12307,4.13772,4.1524,4.16711,4.18184,4.19659,4.21137,4.22617,4.241,4.25585,4.27072,4.28561,4.30053,4.31546,4.33042,4.3454,4.3604,4.37542,4.39047,4.40553,4.4206,4.4357,4.45082,4.46595,4.4811,4.49627,4.51146,4.52666,4.54188,4.55711,4.57236,4.58762,4.6029,4.61819,4.63349,4.64881,4.66414,4.67948,4.69484,4.7102,4.72557,4.74096,4.75635,4.77176,4.78717,4.80259,4.81802,4.83346,4.8489,4.86435,4.8798,4.89526,4.91073,4.9262,4.94167,4.95715,4.97263,4.98811,5.0036,5.01908,5.03457,5.05006,5.06554,5.08103,5.09651,5.112,5.12748,5.14296,5.15843,5.1739,5.18936,5.20483,5.22028,5.23573,5.25117,5.2666,5.28203,5.29745,5.31286,5.32826,5.34364,5.35902,5.37439,5.38974,5.40508,5.42041,5.43573,5.45103,5.46631,5.48158,5.49684,5.51208,5.5273,5.5425,5.55768,5.57284,5.58799,5.60311,5.61821,5.6333,5.64835,5.66339,5.6784,5.69339,5.70835,5.72329,5.7382,5.75309,5.76794,5.78277,5.79757,5.81234,5.82709,5.8418,5.85648,5.87112,5.88574,5.90032,5.91487,5.92938,5.94386,5.9583,5.97271,5.98708,6.00141,6.0157,6.02996,6.04417,6.05835,6.07248,6.08657,6.10062,6.11463,6.12859,6.14251,6.15638,6.17021,6.18399,6.19772,6.21141,6.22505,6.23864,6.25218,6.26567,6.27911,6.29249,6.30583
2.70775,2.71835,2.72899,2.73967,2.75039,2.76115,2.77195,2.7828,2.79368,2.80461,2.81558,2.82659,2.83764,2.84874,2.85987,2.87104,2.88226,2.89352,2.90481,2.91615,2.92753,2.93895,2.95042,2.96192,2.97346,2.98505,2.99667,3.00834,3.02004,3.03179,3.04357,3.0554,3.06727,3.07918,3.09112,3.10311,3.11514,3.12721,3.13932,3.15146,3.16365,3.17588,3.18814,3.20045,3.2128,3.22518,3.2376,3.25007,3.26257,3.27511,3.28768,3.3003,3.31296,3.32565,3.33838,3.35115,3.36396,3.37681,3.38969,3.40261,3.41557,3.42857,3.4416,3.45467,3.46777,3.48092,3.4941,3.50731,3.52056,3.53385,3.54717,3.56053,3.57393,3.58736,3.60082,3.61432,3.62785,3.64142,3.65502,3.66866,3.68233,3.69603,3.70977,3.72354,3.73735,3.75118,3.76505,3.77895,3.79288,3.80685,3.82085,3.83487,3.84893,3.86302,3.87714,3.89129,3.90547,3.91968,3.93392,3.94819,3.96249,3.97681,3.99117,4.00555,4.01996,4.0344,4.04887,4.06336,4.07788,4.09242,4.10699,4.12159,4.13621,4.15086,4.16553,4.18023,4.19495,4.2097,4.22446,4.23925,4.25407,4.2689,4.28376,4.29864,4.31354,4.32846,4.3434,4.35837,4.37335,4.38835,4.40337,4.41841,4.43347,4.44854,4.46363,4.47874,4.49387,4.50901,4.52417,4.53935,4.55453,4.56974,4.58495,4.60019,4.61543,4.63069,4.64596,4.66124,4.67653,4.69184,4.70715,4.72248,4.73781,4.75315,4.76851,4.78387,4.79924,4.81461,4.83,4.84538,4.86078,4.87618,4.89158,4.90699,4.92241,4.93783,4.95325,4.96867,4.98409,4.99952,5.01494,5.03037,5.0458,5.06122,5.07665,5.09207,5.10749,5.1229,5.13832,5.15373,5.16913,5.18453,5.19993,5.21532,5.2307,5.24607,5.26144,5.27679,5.29214,5.30748,5.32281,5.33813,5.35344,5.36873,5.38401,5.39928,5.41454,5.42978,5.445,5.46021,5.47541,5.49059,5.50575,5.52089,5.53601,5.55112,5.5662,5.58127,5.59631,5.61133,5.62633,5.64131,5.65626,5.67119,5.6861,5.70098,5.71583,5.73066,5.74546,5.76023,5.77497,5.78968,5.80437,5.81902,5.83364,5.84823,5.86279,5.87732,5.89181,5.90627,5.92069,5.93507,5.94942,5.96374,5.97801,5.99225,6.00645,6.02061,6.03473,6.04881,6.06284,6.07684,6.09079,6.1047,6.11856,6.13238,6.14615,6.15988,6.17356,6.18719,6.20078,6.21431,6.2278,6.24124,6.25463,6.26796,6.28124
2.69719,2.70775,2.71835,2.72898,2.73966,2.75038,2.76115,2.77195,2.78279,2.79368,2.8046,2.81557,2.82658,2.83763,2.84872,2.85985,2.87102,2.88224,2.89349,2.90478,2.91612,2.9275,2.93891,2.95037,2.96187,2.97341,2.98499,2.99661,3.00827,3.01997,3.03171,3.04349,3.05531,3.06717,3.07907,3.09101,3.103,3.11502,3.12708,3.13918,3.15132,3.1635,3.17572,3.18797,3.20027,3.21261,3.22498,3.23739,3.24985,3.26234,3.27487,3.28744,3.30004,3.31269,3.32537,3.33809,3.35085,3.36364,3.37648,3.38935,3.40225,3.4152,3.42818,3.4412,3.45425,3.46735,3.48047,3.49364,3.50684,3.52007,3.53334,3.54665,3.55999,3.57337,3.58678,3.60023,3.61371,3.62723,3.64077,3.65436,3.66797,3.68163,3.69531,3.70903,3.72278,3.73656,3.75037,3.76422,3.7781,3.79201,3.80595,3.81992,3.83393,3.84796,3.86203,3.87612,3.89025,3.9044,3.91858,3.9328,3.94704,3.96131,3.97561,3.98994,4.00429,4.01867,4.03308,4.04752,4.06198,4.07647,4.09098,4.10552,4.12009,4.13468,4.14929,4.16393,4.1786,4.19328,4.20799,4.22273,4.23748,4.25226,4.26706,4.28188,4.29672,4.31159,4.32647,4.34138,4.3563,4.37124,4.3862,4.40118,4.41618,4.4312,4.44623,4.46128,4.47635,4.49143,4.50653,4.52165,4.53678,4.55192,4.56708,4.58225,4.59744,4.61263,4.62784,4.64307,4.6583,4.67354,4.6888,4.70406,4.71934,4.73462,4.74992,4.76522,4.78053,4.79584,4.81116,4.82649,4.84183,4.85717,4.87251,4.88786,4.90322,4.91857,4.93393,4.9493,4.96466,4.98003,4.99539,5.01076,5.02612,5.04149,5.05685,5.07222,5.08758,5.10293,5.11829,5.13364,5.14898,5.16432,5.17966,5.19498,5.2103,5.22562,5.24092,5.25622,5.27151,5.28679,5.30206,5.31732,5.33256,5.3478,5.36302,5.37823,5.39343,5.40861,5.42378,5.43893,5.45406,5.46918,5.48428,5.49937,5.51443,5.52948,5.5445,5.55951,5.57449,5.58946,5.6044,5.61932,5.63421,5.64908,5.66393,5.67875,5.69355,5.70831,5.72306,5.73777,5.75246,5.76711,5.78174,5.79633,5.8109,5.82543,5.83994,5.8544,5.86884,5.88324,5.89761,5.91194,5.92623,5.94049,5.95471,5.96889,5.98303,5.99714,6.0112,6.02522,6.03921,6.05314,6.06704,6.0809,6.09471,6.10847,6.12219,6.13586,6.14949,6.16307,6.1766,6.19009,6.20352,6.21691,6.23024,6.24352,6.25675
2.68668,2.69719,2.70775,2.71835,2.72898,2.73966,2.75038,2.76114,2.77194,2.78279,2.79367,2.80459,2.81556,2.82657,2.83761,2.8487,2.85983,2.871,2.88221,2.89346,2.90475,2.91608,2.92746,2.93887,2.95032,2.96182,2.97335,2.98492,2.99654,3.00819,3.01989,3.03162,3.0434,3.05521,3.06707,3.07896,3.0909,3.10287,3.11489,3.12694,3.13903,3.15116,3.16333,3.17554,3.18779,3.20008,3.21241,3.22477,3.23718,3.24962,3.2621,3.27462,3.28718,3.29977,3.3124,3.32508,3.33778,3.35053,3.36331,3.37613,3.38899,3.40188,3.41482,3.42778,3.44079,3.45383,3.46691,3.48002,3.49317,3.50635,3.51957,3.53282,3.54611,3.55944,3.5728,3.58619,3.59962,3.61308,3.62658,3.64011,3.65367,3.66727,3.6809,3.69457,3.70826,3.72199,3.73575,3.74954,3.76337,3.77722,3.79111,3.80503,3.81898,3.83296,3.84697,3.86101,3.87508,3.88918,3.90331,3.91746,3.93165,3.94587,3.96011,3.97438,3.98868,4.00301,4.01736,4.03174,4.04614,4.06058,4.07503,4.08952,4.10403,4.11856,4.13312,4.1477,4.16231,4.17694,4.19159,4.20626,4.22096,4.23568,4.25042,4.26519,4.27997,4.29478,4.3096,4.32445,4.33932,4.3542,4.3691,4.38403,4.39897,4.41392,4.4289,4.44389,4.4589,4.47392,4.48896,4.50402,4.51909,4.53418,4.54927,4.56439,4.57951,4.59465,4.6098,4.62496,4.64014,4.65532,4.67052,4.68573,4.70094,4.71616,4.7314,4.74664,4.76189,4.77714,4.79241,4.80768,4.82295,4.83823,4.85352,4.86881,4.8841,4.8994,4.9147,4.93,4.9453,4.96061,4.97592,4.99122,5.00653,5.02183,5.03714,5.05244,5.06774,5.08304,5.09833,5.11362,5.12891,5.14419,5.15946,5.17473,5.18999,5.20525,5.22049,5.23573,5.25096,5.26618,5.28139,5.29659,5.31177,5.32695,5.34211,5.35726,5.3724,5.38752,5.40263,5.41772,5.4328,5.44786,5.4629,5.47793,5.49293,5.50792,5.52289,5.53783,5.55276,5.56767,5.58255,5.59741,5.61225,5.62706,5.64185,5.65661,5.67135,5.68606,5.70074,5.7154,5.73003,5.74463,5.7592,5.77374,5.78825,5.80272,5.81717,5.83158,5.84596,5.8603,5.87461,5.88889,5.90313,5.91733,5.93149,5.94562,5.95971,5.97376,5.98776,6.00173,6.01566,6.02955,6.04339,6.05719,6.07094,6.08466,6.09832,6.11194,6.12552,6.13904,6.15252,6.16595,6.17934,6.19267,6.20595,6.21918,6.23236
2.6762,2.68668,2.69719,2.70775,2.71834,2.72898,2.73966,2.75038,2.76114,2.77194,2.78278,2.79366,2.80458,2.81555,2.82655,2.8376,2.84868,2.85981,2.87097,2.88218,2.89343,2.90471,2.91604,2.92741,2.93882,2.95027,2.96176,2.97329,2.98486,2.99647,3.00812,3.01981,3.03153,3.0433,3.05511,3.06696,3.07885,3.09078,3.10274,3.11475,3.12679,3.13888,3.151,3.16316,3.17537,3.18761,3.19988,3.2122,3.22456,3.23695,3.24938,3.26185,3.27436,3.28691,3.29949,3.31211,3.32477,3.33747,3.3502,3.36297,3.37578,3.38862,3.4015,3.41442,3.42737,3.44036,3.45339,3.46645,3.47955,3.49268,3.50585,3.51905,3.53229,3.54556,3.55887,3.57221,3.58559,3.599,3.61244,3.62592,3.63943,3.65297,3.66655,3.68016,3.6938,3.70748,3.72119,3.73493,3.7487,3.7625,3.77633,3.7902,3.80409,3.81802,3.83197,3.84596,3.85997,3.87402,3.88809,3.90219,3.91632,3.93048,3.94467,3.95889,3.97313,3.9874,4.0017,4.01602,4.03037,4.04475,4.05915,4.07357,4.08803,4.1025,4.117,4.13153,4.14608,4.16065,4.17525,4.18987,4.20451,4.21917,4.23385,4.24856,4.26329,4.27803,4.2928,4.30759,4.3224,4.33722,4.35207,4.36693,4.38182,4.39672,4.41163,4.42657,4.44152,4.45648,4.47146,4.48646,4.50147,4.5165,4.53154,4.54659,4.56166,4.57674,4.59183,4.60693,4.62205,4.63717,4.65231,4.66746,4.68261,4.69778,4.71295,4.72813,4.74332,4.75852,4.77372,4.78893,4.80415,4.81937,4.8346,4.84983,4.86506,4.8803,4.89554,4.91078,4.92602,4.94127,4.95652,4.97176,4.98701,5.00226,5.0175,5.03274,5.04798,5.06322,5.07846,5.09369,5.10891,5.12413,5.13935,5.15456,5.16976,5.18495,5.20014,5.21532,5.23049,5.24565,5.2608,5.27594,5.29107,5.30618,5.32129,5.33638,5.35146,5.36652,5.38157,5.3966,5.41162,5.42662,5.4416,5.45657,5.47152,5.48645,5.50135,5.51624,5.53111,5.54596,5.56078,5.57559,5.59037,5.60512,5.61985,5.63456,5.64924,5.66389,5.67852,5.69312,5.70769,5.72223,5.73674,5.75123,5.76568,5.7801,5.79449,5.80884,5.82317,5.83746,5.85171,5.86593,5.88011,5.89426,5.90837,5.92244,5.93647,5.95047,5.96442,5.97833,5.99221,6.00604,6.01983,6.03357,6.04728,6.06093,6.07455,6.08811,6.10164,6.11511,6.12854,6.14192,6.15525,6.16853,6.18176,6.19494,6.20806
2.66577,2.6762,2.68668,2.69719,2.70775,2.71834,2.72898,2.73966,2.75037,2.76113,2.77193,2.78277,2.79365,2.80457,2.81553,2.82653,2.83757,2.84866,2.85978,2.87094,2.88215,2.89339,2.90467,2.916,2.92736,2.93877,2.95021,2.9617,2.97322,2.98478,2.99639,3.00803,3.01972,3.03144,3.0432,3.055,3.06685,3.07873,3.09065,3.10261,3.1146,3.12664,3.13872,3.15083,3.16299,3.17518,3.18741,3.19968,3.21199,3.22433,3.23671,3.24914,3.2616,3.27409,3.28663,3.2992,3.31181,3.32446,3.33714,3.34986,3.36262,3.37541,3.38824,3.40111,3.41401,3.42695,3.43993,3.45294,3.46598,3.47906,3.49218,3.50533,3.51852,3.53174,3.545,3.55829,3.57161,3.58497,3.59836,3.61178,3.62524,3.63873,3.65226,3.66581,3.6794,3.69303,3.70668,3.72036,3.73408,3.74783,3.76161,3.77542,3.78926,3.80313,3.81703,3.83096,3.84492,3.85891,3.87293,3.88698,3.90106,3.91516,3.92929,3.94345,3.95764,3.97185,3.98609,4.00036,4.01466,4.02898,4.04332,4.05769,4.07209,4.08651,4.10095,4.11542,4.12991,4.14443,4.15897,4.17353,4.18811,4.20272,4.21735,4.232,4.24667,4.26136,4.27607,4.2908,4.30555,4.32032,4.3351,4.34991,4.36473,4.37957,4.39443,4.40931,4.4242,4.43911,4.45403,4.46897,4.48392,4.49889,4.51387,4.52887,4.54387,4.5589,4.57393,4.58897,4.60403,4.6191,4.63417,4.64926,4.66436,4.67946,4.69458,4.7097,4.72483,4.73997,4.75511,4.77026,4.78542,4.80058,4.81575,4.83092,4.84609,4.86127,4.87645,4.89164,4.90682,4.92201,4.93719,4.95238,4.96757,4.98275,4.99794,5.01312,5.0283,5.04348,5.05866,5.07383,5.08899,5.10415,5.11931,5.13446,5.1496,5.16474,5.17987,5.19499,5.2101,5.2252,5.24029,5.25537,5.27044,5.2855,5.30054,5.31557,5.33059,5.3456,5.36059,5.37556,5.39052,5.40546,5.42039,5.4353,5.45018,5.46506,5.47991,5.49474,5.50955,5.52434,5.5391,5.55385,5.56857,5.58327,5.59794,5.61259,5.62721,5.64181,5.65638,5.67092,5.68544,5.69992,5.71438,5.72881,5.7432,5.75757,5.7719,5.7862,5.80046,5.8147,5.8289,5.84306,5.85719,5.87128,5.88533,5.89935,5.91333,5.92727,5.94117,5.95503,5.96885,5.98262,5.99636,6.01005,6.0237,6.0373,6.05086,6.06438,6.07785,6.09127,6.10464,6.11797,6.13125,6.14448,6.15766,6.17078,6.18386
2.65538,2.66577,2.6762,2.68668,2.69719,2.70774,2.71834,2.72897,2.73965,2.75037,2.76112,2.77192,2.78276,2.79364,2.80455,2.81551,2.82651,2.83755,2.84863,2.85975,2.87091,2.88211,2.89335,2.90463,2.91595,2.92731,2.93871,2.95015,2.96163,2.97315,2.98471,2.99631,3.00794,3.01962,3.03134,3.04309,3.05489,3.06672,3.0786,3.09051,3.10246,3.11445,3.12648,3.13855,3.15065,3.1628,3.17498,3.1872,3.19946,3.21176,3.2241,3.23647,3.24888,3.26133,3.27381,3.28634,3.2989,3.31149,3.32413,3.3368,3.34951,3.36225,3.37503,3.38785,3.4007,3.41359,3.42651,3.43947,3.45247,3.4655,3.47857,3.49167,3.5048,3.51797,3.53117,3.54441,3.55768,3.57099,3.58433,3.5977,3.61111,3.62455,3.63802,3.65152,3.66506,3.67863,3.69223,3.70586,3.71952,3.73322,3.74694,3.7607,3.77449,3.7883,3.80215,3.81603,3.82993,3.84387,3.85783,3.87183,3.88585,3.8999,3.91397,3.92808,3.94221,3.95637,3.97055,3.98477,3.999,4.01327,4.02756,4.04187,4.05621,4.07058,4.08497,4.09938,4.11381,4.12827,4.14275,4.15726,4.17179,4.18634,4.20091,4.2155,4.23011,4.24474,4.2594,4.27407,4.28876,4.30347,4.3182,4.33295,4.34772,4.3625,4.3773,4.39212,4.40695,4.4218,4.43667,4.45155,4.46644,4.48135,4.49627,4.51121,4.52616,4.54112,4.5561,4.57108,4.58608,4.60109,4.61611,4.63113,4.64617,4.66122,4.67628,4.69134,4.70641,4.72149,4.73657,4.75167,4.76676,4.78187,4.79697,4.81208,4.8272,4.84232,4.85744,4.87256,4.88769,4.90282,4.91795,4.93307,4.9482,4.96333,4.97845,4.99358,5.0087,5.02382,5.03893,5.05405,5.06915,5.08426,5.09935,5.11444,5.12953,5.1446,5.15967,5.17473,5.18978,5.20483,5.21986,5.23488,5.24989,5.26489,5.27988,5.29485,5.30981,5.32476,5.33969,5.3546,5.3695,5.38439,5.39926,5.41411,5.42894,5.44375,5.45854,5.47332,5.48807,5.5028,5.51751,5.5322,5.54686,5.5615,5.57612,5.59071,5.60528,5.61982,5.63433,5.64881,5.66327,5.6777,5.6921,5.70647,5.72081,5.73512,5.7494,5.76364,5.77785,5.79203,5.80617,5.82028,5.83435,5.84839,5.86239,5.87635,5.89027,5.90416,5.91801,5.93181,5.94558,5.9593,5.97298,5.98662,6.00022,6.01377,6.02727,6.04074,6.05415,6.06752,6.08084,6.09412,6.10734,6.12052,6.13365,6.14673,6.15975
2.64502,2.65538,2.66577,2.6762,2.68667,2.69719,2.70774,2.71834,2.72897,2.73964,2.75036,2.76111,2.77191,2.78274,2.79362,2.80454,2.81549,2.82649,2.83752,2.8486,2.85972,2.87087,2.88207,2.89331,2.90458,2.9159,2.92725,2.93865,2.95008,2.96156,2.97307,2.98462,2.99622,3.00785,3.01952,3.03123,3.04298,3.05477,3.06659,3.07846,3.09037,3.10231,3.11429,3.12631,3.13837,3.15047,3.1626,3.17478,3.18699,3.19924,3.21153,3.22385,3.23621,3.24861,3.26105,3.27353,3.28604,3.29858,3.31117,3.32379,3.33645,3.34914,3.36187,3.37464,3.38744,3.40028,3.41316,3.42607,3.43901,3.45199,3.465,3.47805,3.49114,3.50426,3.51741,3.53059,3.54381,3.55707,3.57036,3.58368,3.59703,3.61042,3.62384,3.63729,3.65077,3.66429,3.67783,3.69141,3.70502,3.71866,3.73234,3.74604,3.75977,3.77353,3.78733,3.80115,3.815,3.82888,3.84279,3.85673,3.8707,3.88469,3.89871,3.91276,3.92684,3.94094,3.95507,3.96923,3.98341,3.99762,4.01186,4.02612,4.0404,4.05471,4.06904,4.0834,4.09778,4.11218,4.1266,4.14105,4.15552,4.17001,4.18453,4.19906,4.21362,4.22819,4.24279,4.25741,4.27204,4.28669,4.30137,4.31606,4.33077,4.34549,4.36023,4.37499,4.38977,4.40456,4.41937,4.43419,4.44903,4.46388,4.47874,4.49362,4.50851,4.52342,4.53833,4.55326,4.5682,4.58315,4.59811,4.61308,4.62806,4.64305,4.65804,4.67305,4.68806,4.70308,4.71811,4.73314,4.74818,4.76322,4.77827,4.79332,4.80838,4.82344,4.8385,4.85357,4.86863,4.8837,4.89877,4.91384,4.92891,4.94398,4.95904,4.97411,4.98917,5.00423,5.01929,5.03434,5.04939,5.06443,5.07947,5.0945,5.10953,5.12455,5.13956,5.15456,5.16955,5.18453,5.19951,5.21447,5.22942,5.24436,5.25929,5.27421,5.28911,5.304,5.31887,5.33373,5.34857,5.3634,5.37821,5.393,5.40777,5.42253,5.43726,5.45198,5.46667,5.48135,5.496,5.51063,5.52524,5.53982,5.55438,5.56891,5.58342,5.59791,5.61236,5.62679,5.64119,5.65557,5.66991,5.68422,5.69851,5.71276,5.72698,5.74117,5.75532,5.76945,5.78354,5.79759,5.81161,5.82559,5.83953,5.85344,5.86731,5.88114,5.89493,5.90868,5.9224,5.93607,5.94969,5.96328,5.97682,5.99032,6.00378,6.01719,6.03055,6.04387,6.05714,6.07036,6.08353,6.09666,6.10974,6.12276,6.13574
2.63471,2.64502,2.65538,2.66577,2.6762,2.68667,2.69718,2.70774,2.71833,2.72896,2.73964,2.75035,2.7611,2.7719,2.78273,2.7936,2.80452,2.81547,2.82646,2.8375,2.84857,2.85968,2.87083,2.88203,2.89326,2.90453,2.91584,2.92719,2.93858,2.95001,2.96148,2.97299,2.98454,2.99612,3.00775,3.01941,3.03112,3.04286,3.05464,3.06646,3.07832,3.09021,3.10215,3.11412,3.12614,3.13819,3.15027,3.1624,3.17456,3.18677,3.19901,3.21128,3.2236,3.23595,3.24834,3.26076,3.27323,3.28572,3.29826,3.31083,3.32344,3.33609,3.34877,3.36148,3.37424,3.38703,3.39985,3.41271,3.4256,3.43853,3.4515,3.46449,3.47753,3.49059,3.50369,3.51683,3.53,3.5432,3.55644,3.56971,3.58301,3.59634,3.60971,3.62311,3.63654,3.65,3.66349,3.67702,3.69058,3.70417,3.71778,3.73143,3.74511,3.75882,3.77256,3.78633,3.80013,3.81396,3.82781,3.84169,3.85561,3.86955,3.88351,3.89751,3.91153,3.92558,3.93966,3.95376,3.96788,3.98204,3.99622,4.01042,4.02465,4.0389,4.05318,4.06748,4.0818,4.09615,4.11052,4.12491,4.13932,4.15376,4.16821,4.18269,4.19719,4.21171,4.22625,4.24081,4.25539,4.26998,4.2846,4.29923,4.31388,4.32855,4.34324,4.35794,4.37266,4.38739,4.40214,4.4169,4.43168,4.44648,4.46128,4.4761,4.49094,4.50578,4.52064,4.53551,4.55039,4.56528,4.58018,4.5951,4.61002,4.62495,4.63988,4.65483,4.66978,4.68475,4.69971,4.71469,4.72967,4.74465,4.75964,4.77464,4.78963,4.80464,4.81964,4.83465,4.84965,4.86466,4.87967,4.89468,4.90969,4.9247,4.93971,4.95472,4.96972,4.98472,4.99972,5.01472,5.0297,5.04469,5.05967,5.07464,5.08961,5.10457,5.11952,5.13446,5.1494,5.16432,5.17924,5.19414,5.20904,5.22392,5.23879,5.25364,5.26849,5.28332,5.29813,5.31293,5.32772,5.34249,5.35724,5.37197,5.38669,5.40139,5.41606,5.43072,5.44536,5.45998,5.47457,5.48914,5.50369,5.51822,5.53272,5.5472,5.56165,5.57608,5.59048,5.60485,5.6192,5.63352,5.6478,5.66206,5.67629,5.69049,5.70465,5.71879,5.73289,5.74695,5.76099,5.77499,5.78895,5.80288,5.81677,5.83062,5.84444,5.85821,5.87195,5.88565,5.89931,5.91292,5.9265,5.94003,5.95352,5.96697,5.98037,5.99373,6.00704,6.0203,6.03352,6.04669,6.05982,6.07289,6.08592,6.09889,6.11182
2.62444,2.63471,2.64502,2.65538,2.66577,2.6762,2.68667,2.69718,2.70773,2.71832,2.72896,2.73963,2.75034,2.76109,2.77188,2.78271,2.79358,2.80449,2.81544,2.82643,2.83746,2.84853,2.85964,2.87079,2.88198,2.89321,2.90447,2.91578,2.92712,2.93851,2.94993,2.9614,2.9729,2.98444,2.99602,3.00764,3.0193,3.031,3.04273,3.0545,3.06632,3.07817,3.09006,3.10198,3.11395,3.12595,3.13799,3.15007,3.16219,3.17434,3.18653,3.19876,3.21103,3.22333,3.23567,3.24805,3.26046,3.27291,3.2854,3.29793,3.31049,3.32308,3.33571,3.34838,3.36108,3.37382,3.38659,3.3994,3.41225,3.42513,3.43804,3.45099,3.46397,3.47699,3.49004,3.50312,3.51624,3.52939,3.54257,3.55579,3.56904,3.58232,3.59563,3.60898,3.62236,3.63577,3.64921,3.66269,3.67619,3.68972,3.70329,3.71689,3.73051,3.74417,3.75785,3.77157,3.78531,3.79909,3.81289,3.82672,3.84058,3.85446,3.86837,3.88231,3.89628,3.91028,3.9243,3.93834,3.95242,3.96651,3.98064,3.99478,4.00896,4.02315,4.03737,4.05162,4.06589,4.08018,4.09449,4.10883,4.12318,4.13756,4.15196,4.16639,4.18083,4.19529,4.20977,4.22427,4.2388,4.25334,4.26789,4.28247,4.29706,4.31168,4.3263,4.34095,4.35561,4.37029,4.38498,4.39968,4.41441,4.42914,4.44389,4.45865,4.47343,4.48822,4.50302,4.51783,4.53265,4.54748,4.56233,4.57718,4.59204,4.60691,4.6218,4.63668,4.65158,4.66648,4.68139,4.69631,4.71123,4.72616,4.74109,4.75602,4.77096,4.7859,4.80085,4.8158,4.83075,4.8457,4.86065,4.8756,4.89055,4.9055,4.92045,4.9354,4.95035,4.96529,4.98023,4.99516,5.0101,5.02502,5.03994,5.05486,5.06977,5.08467,5.09956,5.11444,5.12932,5.14419,5.15905,5.17389,5.18873,5.20355,5.21836,5.23316,5.24795,5.26272,5.27748,5.29222,5.30695,5.32166,5.33635,5.35103,5.36569,5.38033,5.39495,5.40955,5.42413,5.43869,5.45323,5.46774,5.48224,5.49671,5.51115,5.52558,5.53997,5.55434,5.56869,5.583,5.59729,5.61155,5.62579,5.63999,5.65416,5.6683,5.68241,5.69649,5.71054,5.72455,5.73853,5.75247,5.76638,5.78025,5.79409,5.80789,5.82165,5.83537,5.84906,5.8627,5.87631,5.88987,5.90339,5.91687,5.93031,5.9437,5.95705,5.97036,5.98362,5.99683,6.01,6.02312,6.03619,6.04922,6.06219,6.07511,6.08799
