2.71864,2.76144,2.8049,2.84903,2.89382,2.93927,2.98537,3.03213,3.07954,3.12759,3.17629,3.22562,3.27559,3.32617,3.37737,3.42918,3.48158,3.53457,3.58814,3.64227,3.69696,3.75219,3.80794,3.8642,3.92096,3.97819,4.03589,4.09402,4.15258,4.21154,4.27089,4.33059,4.39063,4.45097,4.51161,4.5725,4.63363,4.69497,4.75648,4.81814,4.87992,4.94178,5.0037,5.06564,5.12757,5.18945,5.25124,5.31292,5.37445,5.43578,5.49688,5.55772,5.61824,5.67842,5.73821,5.79757,5.85647,5.91485,5.97268,6.02992,6.08652,6.14245,6.19765,6.25209,6.30573
2.67649,2.71863,2.76142,2.80486,2.84896,2.8937,2.93909,2.98512,3.0318,3.07911,3.12705,3.17561,3.2248,3.2746,3.32501,3.37601,3.4276,3.47977,3.53251,3.5858,3.63964,3.69401,3.7489,3.80429,3.86017,3.91651,3.97331,4.03055,4.0882,4.14625,4.20467,4.26345,4.32255,4.38196,4.44166,4.50161,4.56179,4.62218,4.68273,4.74344,4.80426,4.86516,4.92612,4.9871,5.04807,5.10899,5.16983,5.23055,5.29112,5.3515,5.41166,5.47155,5.53113,5.59038,5.64924,5.70768,5.76566,5.82314,5.88008,5.93643,5.99215,6.04721,6.10156,6.15516,6.20796
2.63499,2.67648,2.71861,2.76138,2.80479,2.84884,2.89352,2.93884,2.98479,3.03137,3.07857,3.12638,3.17481,3.22383,3.27346,3.32367,3.37446,3.42582,3.47774,3.53021,3.58321,3.63674,3.69078,3.74531,3.80032,3.85579,3.91171,3.96806,4.02482,4.08196,4.13948,4.19734,4.25553,4.31403,4.37279,4.43182,4.49106,4.55051,4.61013,4.66989,4.72977,4.78973,4.84974,4.90978,4.9698,5.02977,5.08967,5.14945,5.20908,5.26853,5.32775,5.38671,5.44537,5.5037,5.56165,5.61919,5.67627,5.73286,5.78891,5.84438,5.89924,5.95345,6.00695,6.05972,6.11171
2.59414,2.63498,2.67646,2.71857,2.7613,2.80467,2.84866,2.89328,2.93852,2.98437,3.03084,3.07791,3.12558,3.17385,3.22271,3.27214,3.32214,3.37271,3.42382,3.47548,3.52766,3.58036,3.63355,3.68724,3.7414,3.79601,3.85106,3.90654,3.96241,4.01868,4.0753,4.13227,4.18955,4.24714,4.305,4.3631,4.42143,4.47996,4.53865,4.59749,4.65644,4.71547,4.77455,4.83365,4.89274,4.95179,5.01076,5.06961,5.12832,5.18684,5.24514,5.30319,5.36094,5.41837,5.47542,5.53206,5.58826,5.64397,5.69915,5.75377,5.80778,5.86114,5.91381,5.96576,6.01694
2.55392,2.59413,2.63496,2.67642,2.71849,2.76119,2.8045,2.84842,2.89296,2.9381,2.98385,3.03019,3.07713,3.12464,3.17274,3.22141,3.27064,3.32042,3.37074,3.42159,3.47297,3.52485,3.57722,3.63007,3.68339,3.73716,3.79135,3.84597,3.90098,3.95637,4.01212,4.0682,4.1246,4.18129,4.23825,4.29546,4.35288,4.4105,4.46828,4.52621,4.58424,4.64236,4.70052,4.75871,4.81688,4.87501,4.93307,4.99101,5.0488,5.10642,5.16382,5.22097,5.27782,5.33436,5.39052,5.44629,5.50161,5.55646,5.61079,5.66455,5.71773,5.77026,5.82212,5.87326,5.92365
2.51432,2.55391,2.59411,2.63492,2.67634,2.71838,2.76102,2.80426,2.84811,2.89255,2.93759,2.98321,3.02942,3.0762,3.12355,3.17146,3.21993,3.26894,3.31848,3.36854,3.41912,3.4702,3.52176,3.57379,3.62628,3.67921,3.73257,3.78634,3.8405,3.89503,3.94991,4.00512,4.06065,4.11646,4.17254,4.22886,4.28539,4.34212,4.399,4.45603,4.51316,4.57038,4.62764,4.68493,4.7422,4.79943,4.85658,4.91362,4.97052,5.02725,5.08375,5.14002,5.19599,5.25165,5.30694,5.36184,5.41631,5.47031,5.52379,5.57673,5.62907,5.68079,5.73185,5.7822,5.83181
2.47534,2.51431,2.55389,2.59407,2.63485,2.67623,2.71821,2.76078,2.80395,2.8477,2.89204,2.93696,2.98245,3.02851,3.07512,3.12229,3.17001,3.21826,3.26703,3.31632,3.36611,3.41639,3.46715,3.51838,3.57006,3.62217,3.6747,3.72763,3.78095,3.83464,3.88867,3.94303,3.99769,4.05264,4.10784,4.16329,4.21895,4.27479,4.3308,4.38694,4.44319,4.49952,4.55589,4.61229,4.66867,4.72501,4.78128,4.83744,4.89346,4.9493,5.00493,5.06032,5.11543,5.17022,5.22466,5.27871,5.33233,5.38549,5.43814,5.49026,5.54179,5.59271,5.64298,5.69255,5.74138
2.43696,2.47533,2.51429,2.55385,2.594,2.63474,2.67606,2.71798,2.76048,2.80355,2.8472,2.89142,2.93621,2.98155,3.02745,3.07388,3.12086,3.16836,3.21638,3.2649,3.31392,3.36342,3.4134,3.46383,3.51471,3.56601,3.61773,3.66984,3.72233,3.77518,3.82838,3.88189,3.93571,3.9898,4.04415,4.09874,4.15353,4.20851,4.26365,4.31892,4.3743,4.42975,4.48525,4.54077,4.59628,4.65175,4.70715,4.76243,4.81758,4.87256,4.92733,4.98186,5.03611,5.09006,5.14365,5.19686,5.24965,5.30199,5.35383,5.40513,5.45587,5.506,5.55548,5.60428,5.65236
2.39918,2.43695,2.47531,2.51425,2.55378,2.59389,2.63457,2.67584,2.71768,2.76008,2.80306,2.84659,2.89068,2.93533,2.98051,3.02623,3.07247,3.11924,3.16651,3.21428,3.26254,3.31128,3.36048,3.41013,3.46021,3.51072,3.56164,3.61294,3.66462,3.71665,3.76902,3.8217,3.87469,3.92794,3.98145,4.03519,4.08913,4.14326,4.19754,4.25196,4.30648,4.36107,4.41571,4.47037,4.52502,4.57963,4.63416,4.68859,4.74289,4.79701,4.85093,4.90462,4.95803,5.01114,5.0639,5.11629,5.16826,5.21978,5.27081,5.32133,5.37128,5.42063,5.46934,5.51739,5.56472
2.36198,2.39917,2.43693,2.47527,2.51418,2.55367,2.59373,2.63435,2.67554,2.71729,2.7596,2.80246,2.84587,2.88981,2.9343,2.97931,3.02484,3.07087,3.11741,3.16445,3.21196,3.25994,3.30837,3.35725,3.40656,3.45629,3.50641,3.55692,3.6078,3.65903,3.71058,3.76245,3.81461,3.86704,3.91972,3.97263,4.02573,4.07902,4.13246,4.18603,4.2397,4.29345,4.34725,4.40106,4.45486,4.50862,4.56231,4.6159,4.66935,4.72263,4.77572,4.82857,4.88116,4.93344,4.98538,5.03696,5.08812,5.13885,5.18909,5.23882,5.28799,5.33658,5.38454,5.43184,5.47844
2.32536,2.36197,2.39915,2.43689,2.4752,2.51408,2.55351,2.59351,2.63406,2.67516,2.71681,2.75901,2.80174,2.84501,2.8888,2.93311,2.97794,3.02326,3.06908,3.11538,3.16216,3.20939,3.25708,3.3052,3.35375,3.4027,3.45205,3.50178,3.55186,3.60229,3.65305,3.70412,3.75547,3.80708,3.85895,3.91103,3.96332,4.01578,4.06839,4.12113,4.17397,4.22688,4.27984,4.33282,4.38579,4.43872,4.49157,4.54433,4.59695,4.64941,4.70167,4.7537,4.80547,4.85695,4.90809,4.95886,5.00923,5.05917,5.10863,5.15759,5.206,5.25384,5.30105,5.34762,5.3935
2.28931,2.32535,2.36195,2.39911,2.43683,2.4751,2.51392,2.5533,2.59322,2.63368,2.67469,2.71623,2.7583,2.8009,2.84401,2.88764,2.93177,2.97639,3.0215,3.06708,3.11313,3.15963,3.20658,3.25396,3.30175,3.34994,3.39853,3.44748,3.49679,3.54644,3.59641,3.64668,3.69724,3.74806,3.79911,3.85039,3.90187,3.95351,4.00531,4.05723,4.10925,4.16135,4.21348,4.26564,4.31779,4.36989,4.42193,4.47387,4.52568,4.57732,4.62877,4.68,4.73096,4.78164,4.83199,4.88197,4.93156,4.98073,5.02942,5.07762,5.12528,5.17238,5.21886,5.26471,5.30987
2.25381,2.2893,2.32533,2.36191,2.39904,2.43672,2.47494,2.51371,2.55301,2.59285,2.63322,2.67412,2.71554,2.75747,2.79992,2.84287,2.88631,2.93024,2.97465,3.01953,3.06486,3.11064,3.15686,3.2035,3.25056,3.298,3.34583,3.39403,3.44258,3.49146,3.54065,3.59014,3.63991,3.68994,3.74021,3.79069,3.84137,3.89221,3.94321,3.99433,4.04554,4.09682,4.14815,4.1995,4.25084,4.30214,4.35337,4.4045,4.45551,4.50635,4.557,4.60744,4.65761,4.7075,4.75707,4.80628,4.8551,4.9035,4.95144,4.99889,5.04582,5.09218,5.13794,5.18308,5.22754
