0,1
0.00390625,1.00784
0.0078125,1.01575
0.0117188,1.02371
0.015625,1.03174
0.0195312,1.03983
0.0234375,1.04799
0.0273438,1.05621
0.03125,1.06449
0.0351562,1.07283
0.0390625,1.08125
0.0429688,1.08972
0.046875,1.09826
0.0507812,1.10687
0.0546875,1.11555
0.0585938,1.12429
0.0625,1.1331
0.0664062,1.14198
0.0703125,1.15092
0.0742188,1.15994
0.078125,1.16902
0.0820312,1.17818
0.0859375,1.1874
0.0898438,1.1967
0.09375,1.20606
0.0976562,1.2155
0.101562,1.22501
0.105469,1.23459
0.109375,1.24424
0.113281,1.25397
0.117188,1.26377
0.121094,1.27365
0.125,1.2836
0.128906,1.29363
0.132812,1.30373
0.136719,1.31391
0.140625,1.32417
0.144531,1.3345
0.148438,1.34491
0.152344,1.3554
0.15625,1.36596
0.160156,1.37661
0.164062,1.38734
0.167969,1.39814
0.171875,1.40903
0.175781,1.42
0.179688,1.43104
0.183594,1.44218
0.1875,1.45339
0.191406,1.46469
0.195312,1.47607
0.199219,1.48753
0.203125,1.49908
0.207031,1.51071
0.210938,1.52243
0.214844,1.53424
0.21875,1.54613
0.222656,1.55811
0.226562,1.57017
0.230469,1.58233
0.234375,1.59457
0.238281,1.6069
0.242188,1.61932
0.246094,1.63183
0.25,1.64444
0.253906,1.65713
0.257812,1.66991
0.261719,1.68279
0.265625,1.69576
0.269531,1.70882
0.273438,1.72198
0.277344,1.73523
0.28125,1.74857
0.285156,1.76201
0.289062,1.77555
0.292969,1.78918
0.296875,1.80291
0.300781,1.81674
0.304688,1.83066
0.308594,1.84468
0.3125,1.8588
0.316406,1.87302
0.320312,1.88734
0.324219,1.90176
0.328125,1.91628
0.332031,1.9309
0.335938,1.94563
0.339844,1.96045
0.34375,1.97538
0.347656,1.99042
0.351562,2.00555
0.355469,2.0208
0.359375,2.03614
0.363281,2.05159
0.367188,2.06715
0.371094,2.08282
0.375,2.09859
0.378906,2.11447
0.382812,2.13046
0.386719,2.14655
0.390625,2.16276
0.394531,2.17907
0.398438,2.1955
0.402344,2.21203
0.40625,2.22868
0.410156,2.24544
0.414062,2.26231
0.417969,2.27929
0.421875,2.29639
0.425781,2.3136
0.429688,2.33093
0.433594,2.34837
0.4375,2.36592
0.441406,2.3836
0.445312,2.40138
0.449219,2.41929
0.453125,2.43731
0.457031,2.45545
0.460938,2.47371
0.464844,2.49208
0.46875,2.51058
0.472656,2.5292
0.476562,2.54793
0.480469,2.56679
0.484375,2.58577
0.488281,2.60487
0.492188,2.62409
0.496094,2.64344
0.5,2.66291
0.503906,2.6825
0.507812,2.70221
0.511719,2.72206
0.515625,2.74202
0.519531,2.76212
0.523438,2.78233
0.527344,2.80268
0.53125,2.82315
0.535156,2.84375
0.539062,2.86448
0.542969,2.88534
0.546875,2.90632
0.550781,2.92744
0.554688,2.94868
0.558594,2.97005
0.5625,2.99156
0.566406,3.0132
0.570312,3.03497
0.574219,3.05687
0.578125,3.0789
0.582031,3.10106
0.585938,3.12336
0.589844,3.1458
0.59375,3.16836
0.597656,3.19107
0.601562,3.2139
0.605469,3.23688
0.609375,3.25998
0.613281,3.28323
0.617188,3.30661
0.621094,3.33013
0.625,3.35379
0.628906,3.37758
0.632812,3.40151
0.636719,3.42558
0.640625,3.44979
0.644531,3.47414
0.648438,3.49863
0.652344,3.52326
0.65625,3.54803
0.660156,3.57294
0.664062,3.59799
0.667969,3.62319
0.671875,3.64852
0.675781,3.674
0.679688,3.69962
0.683594,3.72538
0.6875,3.75129
0.691406,3.77734
0.695312,3.80353
0.699219,3.82987
0.703125,3.85635
0.707031,3.88298
0.710938,3.90975
0.714844,3.93667
0.71875,3.96374
0.722656,3.99095
0.726562,4.0183
0.730469,4.0458
0.734375,4.07345
0.738281,4.10125
0.742188,4.12919
0.746094,4.15728
0.75,4.18552
0.753906,4.21391
0.757812,4.24244
0.761719,4.27113
0.765625,4.29996
0.769531,4.32894
0.773438,4.35807
0.777344,4.38735
0.78125,4.41678
0.785156,4.44636
0.789062,4.47608
0.792969,4.50596
0.796875,4.53599
0.800781,4.56617
0.804688,4.5965
0.808594,4.62698
0.8125,4.65761
0.816406,4.68839
0.820312,4.71932
0.824219,4.7504
0.828125,4.78164
0.832031,4.81302
0.835938,4.84456
0.839844,4.87625
0.84375,4.90809
0.847656,4.94008
0.851562,4.97222
0.855469,5.00451
0.859375,5.03696
0.863281,5.06956
0.867188,5.10231
0.871094,5.13521
0.875,5.16826
0.878906,5.20147
0.882812,5.23483
0.886719,5.26834
0.890625,5.302
0.894531,5.33581
0.898438,5.36977
0.902344,5.40389
0.90625,5.43816
0.910156,5.47258
0.914062,5.50715
0.917969,5.54187
0.921875,5.57674
0.925781,5.61177
0.929688,5.64694
0.933594,5.68227
0.9375,5.71775
0.941406,5.75338
0.945312,5.78915
0.949219,5.82508
0.953125,5.86116
0.957031,5.89739
0.960938,5.93377
0.964844,5.9703
0.96875,6.00698
0.972656,6.04381
0.976562,6.08079
0.980469,6.11791
0.984375,6.15519
0.988281,6.19261
0.992188,6.23018
0.996094,6.2679
1,6.30577
