2.71828,2.7396,2.76109,2.78274,2.80456,2.82654,2.84869,2.871,2.89348,2.91612,2.93893,2.9619,2.98504,3.00834,3.0318,3.05543,3.07922,3.10316,3.12727,3.15155,3.17598,3.20057,3.22531,3.25022,3.27528,3.3005,3.32587,3.3514,3.37707,3.4029,3.42888,3.45502,3.48129,3.50772,3.53429,3.56101,3.58786,3.61486,3.642,3.66928,3.69669,3.72424,3.75192,3.77974,3.80768,3.83575,3.86395,3.89227,3.92071,3.94927,3.97795,4.00674,4.03565,4.06467,4.09379,4.12302,4.15236,4.18179,4.21132,4.24095,4.27067,4.30048,4.33038,4.36036,4.39042,4.42056,4.45078,4.48106,4.51142,4.54184,4.57232,4.60286,4.63345,4.6641,4.6948,4.72553,4.75631,4.78713,4.81798,4.84886,4.87977,4.91069,4.94164,4.97259,5.00356,5.03453,5.06551,5.09648,5.12744,5.15839,5.18933,5.22025,5.25114,5.282,5.31282,5.34361,5.37436,5.40505,5.4357,5.46628,5.49681,5.52726,5.55765,5.58796,5.61818,5.64832,5.67837,5.70832,5.73817,5.76792,5.79755,5.82706,5.85645,5.88571,5.91484,5.94384,5.97269,6.00139,6.02993,6.05832,6.08655,6.1146,6.14248,6.17019,6.1977,6.22503,6.25216,6.27908,6.30581
2.69713,2.71828,2.7396,2.76108,2.78273,2.80454,2.82652,2.84866,2.87096,2.89343,2.91606,2.93885,2.96181,2.98493,3.00821,3.03165,3.05525,3.07902,3.10294,3.12702,3.15126,3.17566,3.20021,3.22492,3.24979,3.27481,3.29999,3.32531,3.35079,3.37642,3.4022,3.42813,3.4542,3.48042,3.50679,3.53329,3.55994,3.58673,3.61366,3.64072,3.66792,3.69526,3.72273,3.75032,3.77805,3.8059,3.83388,3.86198,3.8902,3.91854,3.94699,3.97556,4.00424,4.03304,4.06193,4.09094,4.12004,4.14925,4.17855,4.20795,4.23744,4.26702,4.29668,4.32643,4.35626,4.38616,4.41614,4.44619,4.47631,4.50649,4.53674,4.56704,4.5974,4.6278,4.65826,4.68876,4.7193,4.74988,4.78049,4.81113,4.84179,4.87248,4.90318,4.9339,4.96462,4.99536,5.02609,5.05682,5.08754,5.11825,5.14895,5.17962,5.21027,5.24089,5.27148,5.30203,5.33253,5.36299,5.3934,5.42374,5.45403,5.48425,5.5144,5.54447,5.57446,5.60437,5.63418,5.6639,5.69352,5.72303,5.75243,5.78171,5.81087,5.83991,5.86881,5.89758,5.92621,5.95468,5.98301,6.01118,6.03918,6.06702,6.09468,6.12217,6.14947,6.17658,6.2035,6.23022,6.25674
2.67614,2.69713,2.71828,2.7396,2.76107,2.78272,2.80452,2.82649,2.84862,2.87091,2.89337,2.91598,2.93876,2.9617,2.9848,3.00806,3.03148,3.05505,3.07879,3.10269,3.12674,3.15095,3.17531,3.19983,3.2245,3.24933,3.27431,3.29944,3.32472,3.35015,3.37572,3.40145,3.42732,3.45334,3.4795,3.5058,3.53224,3.55882,3.58554,3.61239,3.63938,3.6665,3.69376,3.72114,3.74865,3.77628,3.80404,3.83192,3.85992,3.88804,3.91628,3.94462,3.97308,4.00165,4.03032,4.0591,4.08798,4.11696,4.14603,4.1752,4.20446,4.23381,4.26324,4.29276,4.32236,4.35203,4.38177,4.41159,4.44147,4.47142,4.50143,4.5315,4.56162,4.59179,4.62201,4.65227,4.68257,4.71291,4.74329,4.77369,4.80411,4.83456,4.86502,4.8955,4.92599,4.95648,4.98698,5.01747,5.04795,5.07842,5.10888,5.13931,5.16972,5.20011,5.23046,5.26077,5.29103,5.32126,5.35142,5.38154,5.41159,5.44157,5.47149,5.50133,5.53108,5.56076,5.59034,5.61982,5.64921,5.67849,5.70766,5.73672,5.76565,5.79446,5.82314,5.85169,5.88009,5.90834,5.93645,5.9644,5.99218,6.01981,6.04725,6.07453,6.10161,6.12852,6.15523,6.18174,6.20804
2.65531,2.67614,2.69713,2.71828,2.73959,2.76106,2.7827,2.80449,2.82645,2.84857,2.87085,2.89329,2.91589,2.93865,2.96157,2.98465,3.00789,3.03128,3.05483,3.07854,3.1024,3.12642,3.1506,3.17493,3.19941,3.22404,3.24883,3.27376,3.29884,3.32408,3.34945,3.37498,3.40065,3.42646,3.45242,3.47851,3.50475,3.53112,3.55763,3.58428,3.61106,3.63797,3.66501,3.69218,3.71947,3.7469,3.77444,3.8021,3.82989,3.85779,3.8858,3.91393,3.94216,3.97051,3.99896,4.02751,4.05617,4.08492,4.11377,4.14271,4.17174,4.20086,4.23007,4.25935,4.28872,4.31816,4.34767,4.37726,4.40691,4.43663,4.4664,4.49623,4.52612,4.55606,4.58604,4.61607,4.64613,4.67624,4.70637,4.73654,4.76673,4.79694,4.82716,4.8574,4.88765,4.91791,4.94817,4.97842,5.00867,5.0389,5.06912,5.09932,5.12949,5.15964,5.18975,5.21983,5.24986,5.27984,5.30978,5.33966,5.36947,5.39923,5.42891,5.45851,5.48804,5.51748,5.54683,5.57609,5.60525,5.6343,5.66325,5.69207,5.72078,5.74937,5.77783,5.80615,5.83433,5.86236,5.89025,5.91798,5.94555,5.97296,6.00019,6.02725,6.05413,6.08082,6.10733,6.13363,6.15973
2.63465,2.65531,2.67614,2.69712,2.71827,2.73957,2.76104,2.78267,2.80446,2.8264,2.84851,2.87077,2.8932,2.91578,2.93852,2.96142,2.98448,3.00769,3.03106,3.05458,3.07826,3.10209,3.12608,3.15022,3.17451,3.19895,3.22354,3.24828,3.27317,3.29821,3.32339,3.34872,3.37419,3.3998,3.42555,3.45144,3.47748,3.50364,3.52995,3.55639,3.58296,3.60966,3.63649,3.66345,3.69053,3.71774,3.74507,3.77251,3.80008,3.82776,3.85556,3.88347,3.91149,3.93961,3.96784,3.99617,4.0246,4.05313,4.08176,4.11047,4.13928,4.16817,4.19715,4.22621,4.25534,4.28456,4.31384,4.34319,4.37262,4.4021,4.43164,4.46124,4.4909,4.5206,4.55035,4.58015,4.60998,4.63985,4.66975,4.69968,4.72963,4.75961,4.7896,4.8196,4.84962,4.87964,4.90966,4.93968,4.96969,4.99969,5.02967,5.05964,5.08958,5.11949,5.14936,5.17921,5.209,5.23876,5.26846,5.2981,5.32769,5.35721,5.38666,5.41603,5.44533,5.47454,5.50367,5.5327,5.56163,5.59046,5.61917,5.64778,5.67627,5.70463,5.73286,5.76096,5.78893,5.81674,5.84441,5.87193,5.89928,5.92648,5.9535,5.98035,6.00702,6.0335,6.0598,6.0859,6.1118
2.61415,2.63465,2.65531,2.67613,2.69711,2.71825,2.73955,2.76101,2.78263,2.80441,2.82634,2.84843,2.87068,2.89309,2.91565,2.93838,2.96125,2.98428,3.00747,3.03081,3.05431,3.07795,3.10175,3.1257,3.14981,3.17406,3.19846,3.223,3.2477,3.27254,3.29753,3.32266,3.34793,3.37334,3.39889,3.42458,3.45041,3.47638,3.50248,3.52871,3.55507,3.58157,3.60819,3.63494,3.66181,3.6888,3.71592,3.74316,3.77051,3.79798,3.82556,3.85325,3.88105,3.90895,3.93696,3.96507,3.99328,4.02159,4.04999,4.07848,4.10707,4.13573,4.16449,4.19332,4.22223,4.25121,4.28027,4.3094,4.33859,4.36784,4.39716,4.42653,4.45595,4.48542,4.51494,4.5445,4.5741,4.60374,4.63341,4.6631,4.69282,4.72257,4.75233,4.7821,4.81188,4.84166,4.87145,4.90124,4.93101,4.96078,4.99053,5.02026,5.04997,5.07965,5.10929,5.1389,5.16847,5.19799,5.22746,5.25687,5.28623,5.31552,5.34474,5.37389,5.40296,5.43194,5.46084,5.48964,5.51835,5.54695,5.57544,5.60383,5.63209,5.66023,5.68825,5.71613,5.74388,5.77148,5.79893,5.82623,5.85338,5.88036,5.90717,5.93381,5.96027,5.98655,6.01264,6.03854,6.06424
2.5938,2.61415,2.63465,2.65531,2.67613,2.6971,2.71824,2.73953,2.76098,2.78258,2.80435,2.82627,2.84834,2.87058,2.89297,2.91551,2.93821,2.96106,2.98407,3.00723,3.03054,3.054,3.07761,3.10138,3.12529,3.14936,3.17357,3.19792,3.22243,3.24707,3.27186,3.2968,3.32187,3.34709,3.37244,3.39793,3.42356,3.44933,3.47522,3.50125,3.52741,3.5537,3.58011,3.60665,3.63331,3.6601,3.687,3.71403,3.74117,3.76842,3.79579,3.82326,3.85084,3.87853,3.90632,3.93422,3.96221,3.99029,4.01847,4.04674,4.0751,4.10355,4.13208,4.16069,4.18937,4.21813,4.24696,4.27586,4.30482,4.33385,4.36294,4.39208,4.42127,4.45052,4.4798,4.50914,4.53851,4.56791,4.59735,4.62682,4.6563,4.68582,4.71534,4.74488,4.77443,4.80399,4.83354,4.86309,4.89264,4.92217,4.95169,4.98119,5.01067,5.04012,5.06953,5.09891,5.12825,5.15754,5.18678,5.21596,5.24509,5.27415,5.30315,5.33207,5.36091,5.38967,5.41834,5.44692,5.4754,5.50378,5.53206,5.56022,5.58826,5.61619,5.64398,5.67165,5.69918,5.72656,5.7538,5.78089,5.80782,5.8346,5.8612,5.88763,5.91389,5.93996,5.96585,5.99154,6.01704
2.57362,2.5938,2.61414,2.63464,2.6553,2.67611,2.69708,2.71821,2.73949,2.76093,2.78252,2.80427,2.82618,2.84824,2.87045,2.89282,2.91534,2.93802,2.96084,2.98382,3.00695,3.03023,3.05366,3.07724,3.10097,3.12485,3.14887,3.17304,3.19735,3.2218,3.2464,3.27114,3.29602,3.32104,3.3462,3.37149,3.39692,3.42248,3.44818,3.474,3.49996,3.52604,3.55225,3.57858,3.60504,3.63162,3.65831,3.68512,3.71205,3.73909,3.76625,3.79351,3.82088,3.84835,3.87592,3.9036,3.93137,3.95924,3.9872,4.01525,4.04339,4.07162,4.09992,4.12831,4.15677,4.1853,4.21391,4.24258,4.27132,4.30012,4.32898,4.3579,4.38687,4.41588,4.44494,4.47405,4.50319,4.53236,4.56157,4.59081,4.62007,4.64935,4.67865,4.70796,4.73728,4.7666,4.79593,4.82525,4.85456,4.88387,4.91316,4.94243,4.97168,5.00089,5.03008,5.05923,5.08834,5.1174,5.14641,5.17537,5.20427,5.23311,5.26188,5.29057,5.31919,5.34773,5.37617,5.40453,5.43279,5.46095,5.48901,5.51695,5.54477,5.57248,5.60006,5.62751,5.65482,5.682,5.70903,5.73591,5.76263,5.78919,5.81559,5.84181,5.86787,5.89374,5.91942,5.94492,5.97022
2.55359,2.57362,2.5938,2.61414,2.63464,2.65529,2.67609,2.69705,2.71817,2.73944,2.76087,2.78245,2.80418,2.82607,2.84811,2.87031,2.89265,2.91515,2.9378,2.9606,2.98355,3.00665,3.0299,3.0533,3.07684,3.10053,3.12436,3.14834,3.17247,3.19673,3.22114,3.24569,3.27037,3.2952,3.32016,3.34525,3.37048,3.39585,3.42134,3.44697,3.47272,3.4986,3.52461,3.55073,3.57698,3.60335,3.62984,3.65645,3.68316,3.71,3.73694,3.76399,3.79114,3.8184,3.84576,3.87322,3.90078,3.92843,3.95617,3.98401,4.01193,4.03993,4.06802,4.09618,4.12442,4.15273,4.18112,4.20957,4.23808,4.26666,4.2953,4.32399,4.35273,4.38152,4.41035,4.43923,4.46814,4.49709,4.52607,4.55508,4.58412,4.61317,4.64224,4.67132,4.70041,4.72951,4.7586,4.7877,4.81679,4.84586,4.87492,4.90397,4.93299,4.96198,4.99094,5.01986,5.04874,5.07758,5.10636,5.1351,5.16377,5.19238,5.22093,5.2494,5.2778,5.30611,5.33434,5.36247,5.39051,5.41845,5.44629,5.47401,5.50162,5.52912,5.55648,5.58372,5.61082,5.63778,5.6646,5.69127,5.71778,5.74414,5.77033,5.79635,5.8222,5.84787,5.87336,5.89865,5.92376
2.53372,2.55359,2.57362,2.5938,2.61413,2.63462,2.65527,2.67607,2.69702,2.71812,2.73938,2.7608,2.78236,2.80408,2.82595,2.84797,2.87014,2.89247,2.91494,2.93756,2.96033,2.98325,3.00632,3.02954,3.0529,3.0764,3.10005,3.12384,3.14778,3.17185,3.19607,3.22043,3.24492,3.26955,3.29432,3.31922,3.34426,3.36942,3.39472,3.42014,3.4457,3.47137,3.49718,3.5231,3.54915,3.57531,3.60159,3.62799,3.6545,3.68112,3.70786,3.73469,3.76164,3.78869,3.81583,3.84308,3.87042,3.89786,3.92539,3.953,3.9807,4.00849,4.03636,4.0643,4.09232,4.12042,4.14858,4.17681,4.2051,4.23346,4.26187,4.29034,4.31885,4.34742,4.37603,4.40468,4.43337,4.4621,4.49085,4.51963,4.54844,4.57727,4.60611,4.63497,4.66383,4.6927,4.72157,4.75044,4.7793,4.80815,4.83699,4.8658,4.8946,4.92336,4.9521,4.98079,5.00945,5.03806,5.06663,5.09514,5.12359,5.15198,5.1803,5.20855,5.23672,5.26482,5.29283,5.32074,5.34857,5.37629,5.40391,5.43142,5.45881,5.48609,5.51324,5.54026,5.56715,5.59391,5.62052,5.64698,5.67329,5.69944,5.72543,5.75125,5.77689,5.80236,5.82765,5.85275,5.87766
