2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351,6.72781,6.83376,6.94138,7.05069,7.16172,7.2745,7.38906
2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351,6.72781,6.83376,6.94138,7.05069,7.16172,7.2745
2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351,6.72781,6.83376,6.94138,7.05069,7.16172
2.5938,2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351,6.72781,6.83376,6.94138,7.05069
2.55359,2.5938,2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351,6.72781,6.83376,6.94138
2.514,2.55359,2.5938,2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351,6.72781,6.83376
2.47502,2.514,2.55359,2.5938,2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351,6.72781
2.43665,2.47502,2.514,2.55359,2.5938,2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082,6.62351
2.39888,2.43665,2.47502,2.514,2.55359,2.5938,2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972,6.52082
2.36168,2.39888,2.43665,2.47502,2.514,2.55359,2.5938,2.63465,2.67614,2.71828,2.76109,2.80457,2.84873,2.8936,2.93916,2.98545,3.03246,3.08022,3.12872,3.17799,3.22804,3.27887,3.33051,3.38296,3.43623,3.49034,3.54531,3.60114,3.65785,3.71545,3.77396,3.83339,3.89376,3.95508,4.01736,4.08062,4.14488,4.21016,4.27646,4.3438,4.41221,4.48169,4.55227,4.62395,4.69677,4.77073,4.84586,4.92217,4.99969,5.07842,5.15839,5.23963,5.32214,5.40595,5.49108,5.57755,5.66539,5.7546,5.84522,5.93727,6.03077,6.12574,6.22221,6.32019,6.41972
