2.71828,2.76109,2.80456,2.84869,2.89348,2.93893,2.98504,3.0318,3.07922,3.12727,3.17598,3.22531,3.27528,3.32587,3.37707,3.42888,3.48129,3.53429,3.58786,3.642,3.69669,3.75192,3.80768,3.86395,3.92071,3.97795,4.03565,4.09379,4.15236,4.21132,4.27067,4.33038,4.39042,4.45078,4.51142,4.57232,4.63345,4.6948,4.75631,4.81798,4.87977,4.94164,5.00356,5.06551,5.12744,5.18933,5.25114,5.31282,5.37436,5.4357,5.49681,5.55765,5.61818,5.67837,5.73817,5.79755,5.85645,5.91484,5.97269,6.02993,6.08655,6.14248,6.1977,6.25216,6.30581,
2.67614,2.7182,2.76091,2.80427,2.84829,2.89295,2.93826,2.98421,3.03079,3.07802,3.12587,3.17434,3.22343,3.27314,3.32345,3.37435,3.42584,3.47791,3.53055,3.58375,3.6375,3.69179,3.7466,3.80192,3.85773,3.91403,3.97079,4.028,4.08563,4.14367,4.2021,4.26089,4.32003,4.37949,4.43924,4.49926,4.55953,4.62001,4.68068,4.74151,4.80246,4.86351,4.92462,4.98576,5.04688,5.10796,5.16895,5.22981,5.29052,5.35102,5.41129,5.47128,5.53095,5.59027,5.64919,5.70768,5.7657,5.8232,5.88015,5.93652,5.99225,6.0473,6.10165,6.15524,6.20804,
2.63465,2.67597,2.71794,2.76055,2.8038,2.84768,2.8922,2.93734,2.98312,3.02951,3.07652,3.12415,3.17238,3.22121,3.27063,3.32064,3.37123,3.42239,3.47411,3.52638,3.5792,3.63255,3.68642,3.74081,3.79569,3.85105,3.90689,3.96317,4.01989,4.07702,4.13454,4.19244,4.25068,4.30925,4.36813,4.42729,4.4867,4.54633,4.60617,4.66618,4.72632,4.78657,4.84688,4.90722,4.96755,5.02784,5.08803,5.14809,5.20798,5.26767,5.3271,5.38625,5.44508,5.50354,5.5616,5.61922,5.67636,5.73299,5.78907,5.84455,5.89941,5.9536,6.00709,6.05984,6.1118,
2.5938,2.6344,2.67564,2.7175,2.75999,2.80311,2.84684,2.8912,2.93617,2.98175,3.02794,3.07472,3.1221,3.17007,3.21862,3.26774,3.31743,3.36769,3.4185,3.46986,3.52176,3.57418,3.62713,3.68059,3.73455,3.789,3.84392,3.89929,3.95511,4.01134,4.06797,4.12498,4.18235,4.24005,4.29806,4.35637,4.41493,4.47374,4.53277,4.59197,4.65132,4.71078,4.77032,4.82988,4.88944,4.94895,5.00837,5.06764,5.12674,5.18563,5.24425,5.30257,5.36056,5.41818,5.47539,5.53215,5.58843,5.6442,5.69941,5.75403,5.80803,5.86137,5.914,5.96591,6.01704,
2.55359,2.59348,2.63399,2.67512,2.71686,2.75922,2.80219,2.84577,2.88995,2.93473,2.9801,3.02605,3.07259,3.11971,3.16739,3.21564,3.26445,3.31381,3.36372,3.41417,3.46516,3.51667,3.56871,3.62125,3.6743,3.72784,3.78186,3.83633,3.89126,3.9466,4.00236,4.0585,4.115,4.17184,4.229,4.28647,4.34421,4.40221,4.46043,4.51884,4.57742,4.63612,4.6949,4.75372,4.81254,4.87129,4.92995,4.98847,5.04679,5.10489,5.16271,5.22023,5.2774,5.33418,5.39055,5.44647,5.5019,5.55681,5.61116,5.66493,5.71808,5.77057,5.82237,5.87344,5.92376,
2.514,2.55319,2.59299,2.63339,2.67441,2.71602,2.75824,2.80105,2.84445,2.88843,2.93299,2.97813,3.02384,3.07011,3.11695,3.16433,3.21227,3.26074,3.30976,3.35931,3.40939,3.46,3.51112,3.56276,3.61491,3.66755,3.72067,3.77427,3.82831,3.88279,3.93768,3.99296,4.0486,4.1046,4.16093,4.21756,4.27449,4.33168,4.38912,4.44677,4.5046,4.56257,4.62062,4.67872,4.73681,4.79485,4.85278,4.91055,4.96812,5.02545,5.0825,5.13922,5.19558,5.25154,5.30708,5.36216,5.41675,5.47081,5.52432,5.57724,5.62954,5.6812,5.73216,5.78242,5.83192,
2.47502,2.51352,2.55262,2.59232,2.63261,2.67349,2.71496,2.75702,2.79965,2.84285,2.88662,2.93096,2.97584,3.02129,3.06727,3.1138,3.16087,3.20847,3.25659,3.30525,3.35443,3.40413,3.45436,3.5051,3.55634,3.60809,3.66034,3.71306,3.76624,3.81986,3.8739,3.92834,3.98314,4.0383,4.0938,4.14961,4.20573,4.26214,4.31882,4.37572,4.43283,4.49009,4.54745,4.60486,4.66226,4.71961,4.77683,4.83389,4.89074,4.94732,5.0036,5.05953,5.1151,5.17025,5.22497,5.27922,5.33297,5.38619,5.43886,5.49094,5.54241,5.59323,5.64337,5.69281,5.7415,
2.43665,2.47447,2.51288,2.55188,2.59146,2.63163,2.67237,2.71368,2.75555,2.79799,2.84097,2.88451,2.92859,2.97321,3.01836,3.06404,3.11024,3.15697,3.20421,3.25198,3.30026,3.34907,3.39839,3.44823,3.49858,3.54945,3.60083,3.65269,3.70502,3.75781,3.81101,3.86461,3.91859,3.97292,4.02759,4.08259,4.13791,4.19354,4.24947,4.30566,4.36207,4.41865,4.47535,4.53211,4.58887,4.64556,4.70212,4.75849,4.81463,4.87048,4.92601,4.98118,5.03596,5.09031,5.14421,5.19764,5.25056,5.30294,5.35477,5.40602,5.45665,5.50665,5.55597,5.60459,5.65249,
2.39888,2.43603,2.47376,2.51208,2.55096,2.59042,2.63044,2.67102,2.71215,2.75382,2.79604,2.83879,2.88207,2.92588,2.9702,3.01504,3.06038,3.10624,3.15261,3.19948,3.24687,3.29477,3.34319,3.39213,3.4416,3.49159,3.5421,3.59312,3.64463,3.69659,3.74898,3.80177,3.85492,3.90842,3.96227,4.01645,4.07098,4.12584,4.18103,4.23652,4.29227,4.34823,4.40432,4.46047,4.51663,4.5727,4.62863,4.68435,4.73981,4.79496,4.84975,4.90416,4.95816,5.01172,5.06481,5.11741,5.1695,5.22105,5.27205,5.32246,5.37227,5.42144,5.46994,5.51776,5.56486,
2.36168,2.39818,2.43526,2.4729,2.5111,2.54986,2.58918,2.62903,2.66943,2.71036,2.75182,2.7938,2.83629,2.87929,2.92279,2.96679,3.01129,3.05628,3.10176,3.14774,3.19423,3.24123,3.28874,3.33678,3.38536,3.43447,3.48413,3.53432,3.58502,3.63619,3.68779,3.73978,3.79212,3.8448,3.89781,3.95116,4.00488,4.05898,4.11345,4.16828,4.22341,4.27877,4.33431,4.38992,4.44552,4.50103,4.55638,4.61148,4.66629,4.72075,4.77483,4.82849,4.88171,4.93447,4.98675,5.03853,5.08979,5.14051,5.19067,5.24025,5.28923,5.33757,5.38527,5.43228,5.47858,
