2.72013,2.89533,3.08108,3.27716,3.48322,3.69868,3.92278,4.15454,4.39274,4.63593,4.88243,5.13032,5.37748,5.62159,5.86017,6.09063,6.31029,
2.55555,2.72014,2.89464,3.07886,3.27244,3.47486,3.68539,3.90312,4.12691,4.35538,4.58697,4.81986,5.05207,5.28142,5.50557,5.72208,5.92846,
2.40095,2.55557,2.7195,2.89256,3.07443,3.26459,3.46238,3.66694,3.87718,4.09183,4.3094,4.52821,4.74637,4.96183,5.17242,5.37583,5.56971,
2.25571,2.40096,2.55497,2.71755,2.88841,3.06706,3.25289,3.44506,3.64258,3.84424,4.04864,4.25421,4.45917,4.6616,4.85944,5.05053,5.23267,
2.11927,2.25573,2.4004,2.55315,2.71366,2.8815,3.05608,3.23662,3.42218,3.61164,3.80368,3.9968,4.18936,4.37953,4.5654,4.74493,4.91603,
1.9911,2.11928,2.2552,2.39869,2.54949,2.70717,2.87118,3.0408,3.21514,3.39313,3.57355,3.75498,3.93589,4.11455,4.28916,4.45782,4.61855,
1.87067,1.99109,2.11878,2.25359,2.39526,2.5434,2.69749,2.85684,3.02063,3.18785,3.35735,3.52781,3.69776,3.86561,4.02965,4.18809,4.33909,
1.75754,1.87066,1.99062,2.11727,2.25037,2.38954,2.53431,2.68402,2.8379,2.99501,3.15425,3.31439,3.47406,3.63175,3.78585,3.9347,4.07655,
1.65124,1.75751,1.87021,1.98919,2.11424,2.245,2.38101,2.52167,2.66624,2.81384,2.96345,3.1139,3.2639,3.41204,3.55682,3.69665,3.82991,
1.55136,1.6512,1.75707,1.86886,1.98635,2.1092,2.23699,2.36914,2.50497,2.64364,2.7842,2.92555,3.06647,3.20565,3.34166,3.47303,3.59821,
1.4575,1.5513,1.65077,1.75581,1.86619,1.98162,2.10169,2.22585,2.35347,2.48376,2.61581,2.74861,2.88101,3.01176,3.13954,3.26295,3.38055,
1.3693,1.45742,1.55088,1.64958,1.7533,1.86177,1.97458,2.09124,2.21115,2.33356,2.45763,2.58239,2.70678,2.82962,2.94966,3.0656,3.17608,
1.28639,1.36918,1.45702,1.54976,1.64724,1.74916,1.85517,1.96478,2.07744,2.19246,2.30903,2.42625,2.54311,2.65852,2.7713,2.88021,2.984,
1.20843,1.28623,1.3688,1.45598,1.54759,1.64337,1.74299,1.84599,1.95184,2.05991,2.16943,2.27956,2.38936,2.49779,2.60374,2.70606,2.80357,
1.13506,1.20823,1.28588,1.36786,1.45398,1.544,1.63761,1.7344,1.83386,1.9354,2.0383,2.14178,2.24493,2.3468,2.44635,2.54248,2.63407,
1.06585,1.13484,1.20797,1.28508,1.36605,1.45065,1.53862,1.62957,1.72303,1.81843,1.91512,2.01235,2.10927,2.20498,2.2985,2.38882,2.47487,
1.00005,1.06587,1.13484,1.20738,1.28348,1.36299,1.44565,1.53111,1.61892,1.70857,1.79941,1.89076,1.98183,2.07176,2.15963,2.24449,2.32533,
