2.71828,2.80437,2.89321,2.98473,3.07887,3.1756,3.27489,3.37666,3.48087,3.58743,3.69625,3.80723,3.92026,4.03519,4.1519,4.27022,4.38997,4.51097,4.63302,4.75589,4.87935,5.00316,5.12706,5.25077,5.37401,5.49649,5.61789,5.73791,5.85622,5.9725,6.08641,6.19762,6.30581,
2.63448,2.71805,2.80419,2.89289,2.98414,3.0779,3.17413,3.27278,3.37378,3.47706,3.58253,3.6901,3.79965,3.91105,4.02417,4.13884,4.25491,4.37219,4.49048,4.60957,4.72924,4.84924,4.96933,5.08923,5.20868,5.32739,5.44506,5.56139,5.67606,5.78876,5.89917,6.00696,6.1118,
2.55336,2.63438,2.71789,2.80388,2.89233,2.9832,3.07647,3.17209,3.26998,3.37008,3.47231,3.57657,3.68275,3.79072,3.90036,4.01151,4.12401,4.23768,4.35233,4.46776,4.58375,4.70006,4.81645,4.93267,5.04844,5.1635,5.27755,5.3903,5.50145,5.61068,5.71769,5.82215,5.92376,
2.47476,2.5533,2.63425,2.7176,2.80333,2.89142,2.98182,3.07449,3.16938,3.2664,3.36548,3.46654,3.56945,3.6741,3.78037,3.8881,3.99714,4.10731,4.21843,4.33031,4.44273,4.55546,4.66827,4.78092,4.89313,5.00465,5.11519,5.22447,5.3322,5.43807,5.54178,5.64303,5.7415,
2.39859,2.47472,2.55319,2.63398,2.71707,2.80245,2.89008,2.9799,3.07186,3.1659,3.26194,3.35988,3.45963,3.56107,3.66406,3.76848,3.87416,3.98095,4.08865,4.19709,4.30605,4.41531,4.52466,4.63383,4.7426,4.85068,4.95783,5.06374,5.16815,5.27076,5.37128,5.46941,5.56486,
2.32477,2.39856,2.47462,2.55293,2.63347,2.71622,2.80115,2.88822,2.97735,3.0685,3.16158,3.25651,3.35319,3.45151,3.55134,3.65254,3.75497,3.85847,3.96287,4.06797,4.17357,4.27948,4.38546,4.49127,4.59669,4.70145,4.8053,4.90796,5.00915,5.10861,5.20603,5.30114,5.39364,
2.25323,2.32476,2.39847,2.47437,2.55244,2.63265,2.71497,2.79935,2.88575,2.97409,3.06431,3.15632,3.25003,3.34532,3.44208,3.54017,3.63945,3.73977,3.84095,3.94282,4.04517,4.14782,4.25054,4.3531,4.45527,4.55681,4.65746,4.75696,4.85505,4.95144,5.04586,5.13804,5.2277,
2.1839,2.25322,2.32467,2.39823,2.4739,2.55165,2.63143,2.71322,2.79696,2.88259,2.97004,3.05922,3.15004,3.2424,3.33618,3.43125,3.52748,3.62471,3.72278,3.82151,3.92072,4.02021,4.11977,4.21918,4.31821,4.41662,4.51417,4.61061,4.70568,4.7991,4.89062,4.97996,5.06686,
2.1167,2.18389,2.25314,2.32444,2.39778,2.47314,2.55047,2.62974,2.71091,2.7939,2.87866,2.9651,3.05312,3.14264,3.23354,3.32569,3.41896,3.5132,3.60825,3.70394,3.8001,3.89653,3.99302,4.08937,4.18536,4.28074,4.37529,4.46876,4.5609,4.65145,4.74016,4.82675,4.91097,
2.05157,2.11669,2.18381,2.25292,2.32401,2.39704,2.472,2.54883,2.6275,2.70794,2.79009,2.87387,2.95919,3.04596,3.13406,3.22337,3.31377,3.40511,3.49724,3.58999,3.68319,3.77665,3.87018,3.96356,4.05659,4.14904,4.24069,4.33128,4.42058,4.50835,4.59432,4.67825,4.75987,
1.98844,2.05156,2.11662,2.1836,2.2525,2.32329,2.39594,2.47041,2.54666,2.62463,2.70425,2.78545,2.86815,2.95225,3.03764,3.1242,3.21182,3.30035,3.38965,3.47954,3.56988,3.66046,3.75111,3.84162,3.93179,4.0214,4.11022,4.19802,4.28458,4.36964,4.45297,4.53431,4.61343,
1.92726,1.98843,2.05149,2.11642,2.1832,2.25181,2.32222,2.39441,2.46831,2.54388,2.62105,2.69975,2.77991,2.86142,2.94418,3.02808,3.11301,3.19881,3.28536,3.37249,3.46005,3.54784,3.6357,3.72343,3.81083,3.89768,3.98376,4.06887,4.15276,4.2352,4.31597,4.39481,4.47149,
1.86796,1.92725,1.98837,2.0513,2.11602,2.18252,2.25077,2.32074,2.39237,2.46561,2.54041,2.61669,2.69438,2.77338,2.8536,2.93492,3.01723,3.1004,3.18429,3.26874,3.3536,3.43869,3.52385,3.60888,3.69358,3.77776,3.8612,3.94369,4.02499,4.1049,4.18318,4.25959,4.33391,
1.81049,1.86796,1.92719,1.98818,2.05092,2.11537,2.18152,2.24933,2.31876,2.38975,2.46225,2.53619,2.61148,2.68806,2.76581,2.84463,2.92441,3.00502,3.08632,3.16817,3.25042,3.3329,3.41544,3.49785,3.57995,3.66153,3.74241,3.82235,3.90116,3.97861,4.05448,4.12854,4.20057,
1.75478,1.81048,1.8679,1.92701,1.98782,2.05029,2.11441,2.18013,2.24742,2.31623,2.3865,2.45816,2.53114,2.60536,2.68071,2.75711,2.83443,2.91256,2.99137,3.0707,3.15042,3.23036,3.31036,3.39023,3.46981,3.54888,3.62727,3.70475,3.78114,3.8562,3.92974,4.00152,4.07134,
1.70079,1.75478,1.81042,1.86772,1.92666,1.98721,2.04935,2.11305,2.17827,2.24497,2.31307,2.38253,2.45327,2.5252,2.59824,2.67229,2.74723,2.82296,2.89934,2.97623,3.05349,3.13098,3.20851,3.28593,3.36306,3.4397,3.51567,3.59077,3.66481,3.73756,3.80883,3.87841,3.94607,
1.64846,1.70079,1.75472,1.81026,1.86738,1.92607,1.9863,2.04804,2.11126,2.1759,2.24191,2.30923,2.37779,2.44751,2.5183,2.59007,2.66271,2.73611,2.81014,2.88466,2.95955,3.03465,3.1098,3.18484,3.25959,3.33387,3.40751,3.4803,3.55205,3.62257,3.69165,3.75908,3.82467,
1.59774,1.64846,1.70074,1.75456,1.80993,1.86681,1.92519,1.98503,2.0463,2.10895,2.17293,2.23818,2.30463,2.37221,2.44083,2.51039,2.58079,2.65193,2.72368,2.79592,2.8685,2.94129,3.01413,3.08685,3.1593,3.2313,3.30267,3.37322,3.44277,3.51112,3.57807,3.64343,3.70699,
1.54858,1.59774,1.64841,1.70058,1.75424,1.80937,1.86596,1.92396,1.98334,2.04407,2.10608,2.16932,2.23373,2.29923,2.36573,2.43315,2.50139,2.57034,2.63988,2.7099,2.78025,2.8508,2.92139,2.99188,3.06211,3.13189,3.20106,3.26944,3.33685,3.40309,3.46798,3.53133,3.59294,
