2.71828,2.80456,2.89348,2.98504,3.07922,3.17598,3.27528,3.37707,3.48129,3.58786,3.69669,3.80768,3.92071,4.03565,4.15236,4.27067,4.39042,4.51142,4.63345,4.75631,4.87977,5.00356,5.12744,5.25114,5.37436,5.49681,5.61818,5.73817,5.85645,5.97269,6.08655,6.1977,6.30581,
2.63465,2.71764,2.8032,2.89128,2.98187,3.07491,3.17036,3.26813,3.36816,3.47034,3.57457,3.68076,3.78884,3.89873,4.01037,4.12368,4.23849,4.35463,4.47193,4.59023,4.70933,4.82903,4.94913,5.06944,5.18972,5.30971,5.4291,5.54753,5.66463,5.78,5.89324,6.00397,6.1118,
2.55359,2.6334,2.71568,2.80039,2.88749,2.97692,3.06862,3.1625,3.25845,3.35635,3.45609,3.55755,3.66071,3.76558,3.87222,3.98061,4.09058,4.20196,4.31461,4.42841,4.54324,4.65891,4.7753,4.89228,5.00972,5.12738,5.24494,5.362,5.47811,5.59279,5.70559,5.81605,5.92376,
2.47502,2.55175,2.63086,2.7123,2.79602,2.88197,2.97005,3.06016,3.15218,3.24595,3.34129,3.43806,3.53626,3.63603,3.73765,3.84122,3.94646,4.05315,4.16115,4.2705,4.3811,4.49275,4.60539,4.71905,4.8337,4.94918,5.06514,5.18108,5.29646,5.41072,5.5233,5.63372,5.7415,
2.39888,2.47263,2.54868,2.62697,2.70743,2.79001,2.87462,2.96113,3.04941,3.13922,3.2303,3.3224,3.41546,3.50983,3.60627,3.70527,3.80594,3.90799,4.0112,4.11612,4.22255,4.33013,4.43886,4.54906,4.66094,4.77442,4.88907,5.00427,5.1193,5.23346,5.34613,5.45676,5.56486,
2.32507,2.39597,2.46908,2.54433,2.62167,2.70102,2.7823,2.8654,2.95017,3.03631,3.12339,3.21087,3.29841,3.38659,3.47735,3.57257,3.66894,3.76648,3.86425,3.96485,4.06737,4.17073,4.27512,4.38149,4.49053,4.60227,4.71608,4.83106,4.94624,5.06074,5.17385,5.28498,5.39364,
2.25353,2.32171,2.39201,2.46435,2.53868,2.61492,2.69301,2.77291,2.85447,2.9374,3.02102,3.10419,3.18565,3.26563,3.34883,3.44353,3.53548,3.6294,3.71904,3.81615,3.91573,4.01456,4.11352,4.21521,4.32128,4.43171,4.54544,4.66099,4.777,4.89239,5.00632,5.11824,5.2277,
2.1842,2.24979,2.31741,2.38698,2.45841,2.53164,2.60665,2.68348,2.76217,2.84257,2.9239,3.00401,3.07911,3.14621,3.21349,3.3219,3.40464,3.50114,3.57079,3.66931,3.76909,3.86238,3.95319,4.04843,4.15136,4.26143,4.37635,4.49368,4.61145,4.72834,4.8435,4.95644,5.06686,
2.117,2.18016,2.24527,2.3122,2.38084,2.45111,2.52305,2.59681,2.67278,2.75144,2.83261,2.91348,2.98518,3.0312,3.04156,3.23044,3.26448,3.4041,3.39796,3.52541,3.63305,3.71668,3.7923,3.8777,3.9779,4.08974,4.20817,4.32905,4.44975,4.5688,4.6855,4.79957,4.91097,
2.05187,2.11279,2.17556,2.24001,2.30598,2.37333,2.44204,2.51238,2.58519,2.66229,2.74612,2.8366,2.92142,2.95628,2.69551,3.29821,3.02304,3.45708,3.09571,3.4054,3.52499,3.58287,3.62539,3.6958,3.79628,3.91482,4.04071,4.16763,4.29255,4.4143,4.53264,4.64772,4.75987,
