2.71828,2.89348,3.07922,3.27528,3.48129,3.69669,3.92071,4.15236,4.39042,4.63345,4.87977,5.12744,5.37436,5.61818,5.85645,6.08655,6.30581,
2.55359,2.71816,2.89263,3.07681,3.27034,3.47268,3.68312,3.90073,4.12438,4.35269,4.58408,4.81676,5.04872,5.27778,5.50162,5.71778,5.92376,
2.39888,2.55346,2.71736,2.89037,3.07217,3.26225,3.45994,3.66436,3.87446,4.08894,4.30631,4.5249,4.74281,4.958,5.16828,5.37135,5.56486,
2.25353,2.39875,2.55271,2.71523,2.88601,3.06457,3.25028,3.44232,3.63969,3.84117,4.04538,4.25073,4.45544,4.6576,4.85514,5.04592,5.2277,
2.117,2.25341,2.39804,2.55071,2.71114,2.87888,3.05333,3.23374,3.41915,3.60843,3.80026,3.99317,4.18548,4.3754,4.56098,4.7402,4.91097,
1.98874,2.11688,2.25274,2.39616,2.54686,2.70444,2.86832,3.0378,3.21197,3.38979,3.57,3.75122,3.93189,4.1103,4.28464,4.453,4.61343,
1.86825,1.98862,2.11625,2.25098,2.39255,2.54057,2.69453,2.85373,3.01736,3.1844,3.3537,3.52394,3.69366,3.86126,4.02504,4.1832,4.33391,
1.75505,1.86814,1.98803,2.11459,2.24758,2.38664,2.53127,2.68083,2.83453,2.99145,3.1505,3.31043,3.46987,3.62732,3.78117,3.92976,4.07134,
1.64872,1.75495,1.86758,1.98647,2.1114,2.24204,2.3779,2.5184,2.66279,2.81021,2.95961,3.10985,3.25963,3.40754,3.55208,3.69166,3.82467,
1.54883,1.64862,1.75442,1.86611,1.98348,2.1062,2.23383,2.36581,2.50146,2.63994,2.7803,2.92144,3.06214,3.20109,3.33687,3.468,3.59294,
1.45499,1.54874,1.64813,1.75305,1.86331,1.97859,2.09849,2.22248,2.34991,2.48,2.61185,2.74444,2.87662,3.00715,3.1347,3.25788,3.37526,
1.36684,1.45491,1.54828,1.64684,1.75042,1.85872,1.97135,2.08783,2.20754,2.32975,2.45361,2.57816,2.70233,2.82496,2.94478,3.0605,3.17076,
1.28403,1.36676,1.45447,1.54707,1.64437,1.74611,1.85192,1.96134,2.0738,2.1886,2.30496,2.42197,2.53861,2.6538,2.76637,2.87507,2.97865,
1.20623,1.28395,1.36636,1.45335,1.54475,1.64033,1.73973,1.84252,1.94816,2.05601,2.16532,2.27523,2.38481,2.49302,2.59876,2.70088,2.79818,
1.13315,1.20617,1.28358,1.3653,1.45118,1.54096,1.63434,1.73091,1.83015,1.93146,2.03414,2.1374,2.24033,2.34199,2.44132,2.53725,2.62865,
1.06449,1.13309,1.20582,1.2826,1.36327,1.44762,1.53534,1.62606,1.71929,1.81446,1.91092,2.00791,2.10461,2.2001,2.29341,2.38352,2.46939,
1,1.06445,1.13278,1.20491,1.2807,1.35994,1.44235,1.52757,1.61515,1.70455,1.79517,1.88628,1.97712,2.06681,2.15447,2.23912,2.31978,
